Project ID,Outcome Metric ID,Outcome Pricing,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Outcome metric target - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value)
INDIGO-POJ-0024,metric-0024,664.75,Improved outcomes for individuals in education sector,Disabled persons,512,Individual,332,Education,SDG 4,SDG 13,Target 1.4,Target 4.2
INDIGO-POJ-0025,metric-0025,886.31,Improved outcomes for households in health sector,Youth,467,Household,256,Health,SDG 9,SDG 12,Target 9.4,Target 9.3
INDIGO-POJ-0026,metric-0026,985.68,Improved outcomes for households in housing sector,Youth,646,Household,387,Housing,SDG 17,SDG 4,Target 7.5,Target 4.3
INDIGO-POJ-0027,metric-0027,791.45,Improved outcomes for individuals in health sector,Refugees,330,Individual,181,Health,SDG 10,SDG 17,Target 5.4,Target 6.4
INDIGO-POJ-0028,metric-0028,475.99,Improved outcomes for individuals in housing sector,Refugees,652,Individual,391,Housing,SDG 1,SDG 10,Target 5.2,Target 7.5
INDIGO-POJ-0029,metric-0029,479.22,Improved outcomes for familys in criminal justice sector,Women,247,Family,148,Criminal justice,SDG 11,SDG 3,Target 4.3,Target 4.2
INDIGO-POJ-0030,metric-0030,763.82,Improved outcomes for individuals in housing sector,Disabled persons,380,Individual,228,Housing,SDG 16,SDG 13,Target 4.2,Target 1.1
INDIGO-POJ-0031,metric-0031,314.9,Improved outcomes for familys in housing sector,Disabled persons,961,Family,576,Housing,SDG 17,SDG 11,Target 8.5,Target 9.4
INDIGO-POJ-0032,metric-0032,199.43,Improved outcomes for households in education sector,Refugees,753,Household,489,Education,SDG 9,SDG 15,Target 2.3,Target 4.3
INDIGO-POJ-0033,metric-0033,419.16,Improved outcomes for households in health sector,Youth,630,Household,346,Health,SDG 14,SDG 14,Target 6.5,Target 8.4
INDIGO-POJ-0034,metric-0034,358.52,Improved outcomes for familys in employment and training sector,Women,424,Family,254,Employment and training,SDG 10,SDG 13,Target 7.5,Target 9.5
INDIGO-POJ-0035,metric-0035,366.68,Improved outcomes for familys in housing sector,Youth,638,Family,382,Housing,SDG 5,SDG 1,Target 7.5,Target 10.1
INDIGO-POJ-0036,metric-0036,310.25,Improved outcomes for households in housing sector,Youth,219,Household,131,Housing,SDG 11,SDG 11,Target 7.3,Target 7.3
INDIGO-POJ-0037,metric-0037,137.88,Improved outcomes for individuals in health sector,Women,885,Individual,486,Health,SDG 8,SDG 7,Target 1.5,Target 3.2
INDIGO-POJ-0038,metric-0038,116.09,Improved outcomes for individuals in education sector,Disabled persons,932,Individual,605,Education,SDG 10,SDG 4,Target 10.1,Target 5.5
INDIGO-POJ-0039,metric-0039,988.95,Improved outcomes for households in criminal justice sector,Youth,863,Household,517,Criminal justice,SDG 4,SDG 2,Target 6.5,Target 7.3
INDIGO-POJ-0040,metric-0040,485.0,Improved outcomes for familys in housing sector,Disabled persons,646,Family,387,Housing,SDG 5,SDG 14,Target 3.5,Target 5.5
INDIGO-POJ-0041,metric-0041,445.89,Improved outcomes for familys in education sector,Women,417,Family,271,Education,SDG 15,SDG 13,Target 6.1,Target 8.3
INDIGO-POJ-0042,metric-0042,711.68,Improved outcomes for households in criminal justice sector,Women,687,Household,412,Criminal justice,SDG 7,SDG 3,Target 4.4,Target 8.5
INDIGO-POJ-0043,metric-0043,296.43,Improved outcomes for individuals in housing sector,Refugees,963,Individual,577,Housing,SDG 8,SDG 10,Target 10.3,Target 8.5
INDIGO-POJ-0044,metric-0044,954.97,Improved outcomes for familys in education sector,Women,956,Family,621,Education,SDG 4,SDG 7,Target 6.1,Target 9.2
INDIGO-POJ-0045,metric-0045,807.71,Improved outcomes for individuals in education sector,Women,246,Individual,159,Education,SDG 10,SDG 8,Target 6.2,Target 5.1
INDIGO-POJ-0046,metric-0046,180.47,Improved outcomes for familys in health sector,Youth,689,Family,378,Health,SDG 10,SDG 16,Target 8.4,Target 6.2
INDIGO-POJ-0047,metric-0047,475.82,Improved outcomes for households in education sector,Women,589,Household,382,Education,SDG 10,SDG 3,Target 4.1,Target 9.4
INDIGO-POJ-0048,metric-0048,891.21,Improved outcomes for familys in criminal justice sector,Women,765,Family,459,Criminal justice,SDG 4,SDG 7,Target 4.3,Target 2.2
INDIGO-POJ-0049,metric-0049,950.26,Improved outcomes for households in employment and training sector,Women,840,Household,504,Employment and training,SDG 2,SDG 8,Target 5.3,Target 8.1
INDIGO-POJ-0050,metric-0050,520.66,Improved outcomes for familys in education sector,Refugees,327,Family,212,Education,SDG 3,SDG 2,Target 3.3,Target 10.5
INDIGO-POJ-0051,metric-0051,652.07,Improved outcomes for households in housing sector,Youth,434,Household,260,Housing,SDG 3,SDG 2,Target 7.3,Target 10.3
INDIGO-POJ-0052,metric-0052,250.33,Improved outcomes for households in education sector,Disabled persons,703,Household,456,Education,SDG 16,SDG 17,Target 8.3,Target 3.5
INDIGO-POJ-0053,metric-0053,992.05,Improved outcomes for familys in employment and training sector,Disabled persons,522,Family,313,Employment and training,SDG 14,SDG 16,Target 5.4,Target 9.1
INDIGO-POJ-0054,metric-0054,308.5,Improved outcomes for individuals in housing sector,Disabled persons,408,Individual,244,Housing,SDG 2,SDG 7,Target 9.3,Target 10.4
INDIGO-POJ-0055,metric-0055,948.46,Improved outcomes for households in health sector,Disabled persons,430,Household,236,Health,SDG 8,SDG 6,Target 5.5,Target 1.5
INDIGO-POJ-0056,metric-0056,684.68,Improved outcomes for individuals in criminal justice sector,Women,395,Individual,237,Criminal justice,SDG 9,SDG 14,Target 8.4,Target 4.4
INDIGO-POJ-0057,metric-0057,646.96,Improved outcomes for households in health sector,Disabled persons,695,Household,382,Health,SDG 10,SDG 10,Target 10.5,Target 8.2
INDIGO-POJ-0058,metric-0058,561.42,Improved outcomes for familys in education sector,Disabled persons,590,Family,383,Education,SDG 8,SDG 13,Target 4.4,Target 1.3
INDIGO-POJ-0059,metric-0059,307.6,Improved outcomes for familys in health sector,Disabled persons,358,Family,196,Health,SDG 15,SDG 4,Target 9.4,Target 1.2
INDIGO-POJ-0060,metric-0060,258.88,Improved outcomes for households in health sector,Youth,846,Household,465,Health,SDG 11,SDG 13,Target 6.4,Target 9.1
INDIGO-POJ-0061,metric-0061,298.44,Improved outcomes for familys in housing sector,Refugees,583,Family,349,Housing,SDG 6,SDG 10,Target 1.1,Target 6.1
INDIGO-POJ-0062,metric-0062,267.79,Improved outcomes for familys in education sector,Women,672,Family,436,Education,SDG 3,SDG 13,Target 10.2,Target 8.5
INDIGO-POJ-0063,metric-0063,801.63,Improved outcomes for households in criminal justice sector,Disabled persons,456,Household,273,Criminal justice,SDG 6,SDG 3,Target 8.3,Target 10.3
INDIGO-POJ-0064,metric-0064,415.11,Improved outcomes for households in housing sector,Youth,902,Household,541,Housing,SDG 12,SDG 10,Target 5.1,Target 7.3
INDIGO-POJ-0065,metric-0065,152.06,Improved outcomes for individuals in education sector,Disabled persons,793,Individual,515,Education,SDG 7,SDG 9,Target 3.1,Target 1.3
INDIGO-POJ-0066,metric-0066,972.19,Improved outcomes for individuals in education sector,Refugees,502,Individual,326,Education,SDG 5,SDG 12,Target 9.5,Target 5.2
INDIGO-POJ-0067,metric-0067,895.41,Improved outcomes for households in housing sector,Youth,577,Household,346,Housing,SDG 12,SDG 3,Target 7.1,Target 5.5
INDIGO-POJ-0068,metric-0068,934.98,Improved outcomes for individuals in housing sector,Refugees,618,Individual,370,Housing,SDG 1,SDG 11,Target 10.2,Target 2.4
INDIGO-POJ-0069,metric-0069,995.42,Improved outcomes for familys in health sector,Disabled persons,960,Family,527,Health,SDG 8,SDG 5,Target 7.4,Target 6.5
INDIGO-POJ-0070,metric-0070,256.51,Improved outcomes for familys in employment and training sector,Refugees,902,Family,541,Employment and training,SDG 2,SDG 12,Target 4.4,Target 8.2
INDIGO-POJ-0071,metric-0071,456.62,Improved outcomes for familys in health sector,Women,983,Family,540,Health,SDG 7,SDG 1,Target 1.3,Target 4.2
INDIGO-POJ-0072,metric-0072,782.41,Improved outcomes for households in employment and training sector,Youth,215,Household,129,Employment and training,SDG 5,SDG 5,Target 9.3,Target 3.1
INDIGO-POJ-0073,metric-0073,726.42,Improved outcomes for familys in education sector,Refugees,807,Family,524,Education,SDG 14,SDG 17,Target 2.1,Target 8.4
INDIGO-POJ-0074,metric-0074,238.51,Improved outcomes for familys in housing sector,Disabled persons,654,Family,392,Housing,SDG 1,SDG 2,Target 8.4,Target 7.1
INDIGO-POJ-0075,metric-0075,834.25,Improved outcomes for individuals in criminal justice sector,Disabled persons,918,Individual,550,Criminal justice,SDG 11,SDG 13,Target 10.5,Target 5.4
INDIGO-POJ-0076,metric-0076,302.0,Improved outcomes for households in housing sector,Refugees,903,Household,541,Housing,SDG 14,SDG 4,Target 6.4,Target 6.3
INDIGO-POJ-0077,metric-0077,301.44,Improved outcomes for households in employment and training sector,Youth,562,Household,337,Employment and training,SDG 5,SDG 2,Target 10.5,Target 9.3
INDIGO-POJ-0078,metric-0078,583.28,Improved outcomes for familys in employment and training sector,Youth,769,Family,461,Employment and training,SDG 4,SDG 17,Target 4.2,Target 8.2
INDIGO-POJ-0079,metric-0079,633.65,Improved outcomes for households in criminal justice sector,Refugees,385,Household,231,Criminal justice,SDG 9,SDG 1,Target 3.3,Target 5.3
INDIGO-POJ-0080,metric-0080,622.08,Improved outcomes for individuals in housing sector,Refugees,810,Individual,486,Housing,SDG 14,SDG 15,Target 6.2,Target 6.3
INDIGO-POJ-0081,metric-0081,182.34,Improved outcomes for individuals in housing sector,Women,316,Individual,189,Housing,SDG 14,SDG 16,Target 10.4,Target 7.3
INDIGO-POJ-0082,metric-0082,889.71,Improved outcomes for households in criminal justice sector,Youth,508,Household,304,Criminal justice,SDG 10,SDG 2,Target 4.4,Target 10.1
INDIGO-POJ-0083,metric-0083,339.04,Improved outcomes for familys in housing sector,Refugees,606,Family,363,Housing,SDG 14,SDG 6,Target 3.4,Target 9.2
INDIGO-POJ-0084,metric-0084,216.56,Improved outcomes for households in criminal justice sector,Refugees,832,Household,499,Criminal justice,SDG 13,SDG 14,Target 5.1,Target 7.1
INDIGO-POJ-0085,metric-0085,899.87,Improved outcomes for individuals in criminal justice sector,Women,722,Individual,433,Criminal justice,SDG 3,SDG 13,Target 5.3,Target 4.3
INDIGO-POJ-0086,metric-0086,960.09,Improved outcomes for familys in education sector,Women,277,Family,180,Education,SDG 4,SDG 5,Target 5.2,Target 3.5
INDIGO-POJ-0087,metric-0087,875.91,Improved outcomes for households in employment and training sector,Refugees,257,Household,154,Employment and training,SDG 5,SDG 15,Target 2.4,Target 8.3
INDIGO-POJ-0088,metric-0088,828.56,Improved outcomes for individuals in employment and training sector,Disabled persons,767,Individual,460,Employment and training,SDG 3,SDG 3,Target 10.5,Target 9.4
INDIGO-POJ-0089,metric-0089,689.72,Improved outcomes for households in criminal justice sector,Refugees,286,Household,171,Criminal justice,SDG 16,SDG 17,Target 3.1,Target 8.1
INDIGO-POJ-0090,metric-0090,595.77,Improved outcomes for households in employment and training sector,Youth,862,Household,517,Employment and training,SDG 12,SDG 10,Target 7.4,Target 6.5
INDIGO-POJ-0091,metric-0091,178.29,Improved outcomes for familys in employment and training sector,Refugees,915,Family,549,Employment and training,SDG 5,SDG 11,Target 2.5,Target 3.3
INDIGO-POJ-0092,metric-0092,467.61,Improved outcomes for individuals in employment and training sector,Youth,516,Individual,309,Employment and training,SDG 5,SDG 17,Target 2.4,Target 9.3
INDIGO-POJ-0093,metric-0093,435.42,Improved outcomes for households in education sector,Youth,544,Household,353,Education,SDG 3,SDG 10,Target 2.5,Target 9.5
INDIGO-POJ-0094,metric-0094,333.78,Improved outcomes for households in housing sector,Refugees,659,Household,395,Housing,SDG 2,SDG 14,Target 6.2,Target 8.5
INDIGO-POJ-0095,metric-0095,751.08,Improved outcomes for familys in housing sector,Women,341,Family,204,Housing,SDG 10,SDG 13,Target 9.5,Target 7.2
INDIGO-POJ-0096,metric-0096,546.29,Improved outcomes for households in employment and training sector,Disabled persons,427,Household,256,Employment and training,SDG 3,SDG 6,Target 5.4,Target 9.2
INDIGO-POJ-0097,metric-0097,172.94,Improved outcomes for individuals in education sector,Youth,865,Individual,562,Education,SDG 13,SDG 3,Target 6.2,Target 1.3
INDIGO-POJ-0098,metric-0098,298.16,Improved outcomes for households in housing sector,Disabled persons,994,Household,596,Housing,SDG 1,SDG 3,Target 1.3,Target 4.2
INDIGO-POJ-0099,metric-0099,714.93,Improved outcomes for familys in health sector,Women,347,Family,190,Health,SDG 4,SDG 16,Target 10.5,Target 1.5
INDIGO-POJ-0100,metric-0100,168.52,Improved outcomes for familys in education sector,Youth,681,Family,442,Education,SDG 3,SDG 17,Target 6.1,Target 9.5
INDIGO-POJ-0101,metric-0101,866.09,Improved outcomes for familys in employment and training sector,Refugees,546,Family,327,Employment and training,SDG 8,SDG 4,Target 10.3,Target 3.1
INDIGO-POJ-0102,metric-0102,545.63,Improved outcomes for households in education sector,Women,523,Household,339,Education,SDG 3,SDG 15,Target 1.3,Target 4.1
INDIGO-POJ-0103,metric-0103,532.53,Improved outcomes for familys in education sector,Refugees,609,Family,395,Education,SDG 10,SDG 12,Target 1.3,Target 5.1
INDIGO-POJ-0104,metric-0104,633.17,Improved outcomes for individuals in housing sector,Disabled persons,384,Individual,230,Housing,SDG 12,SDG 17,Target 5.1,Target 7.1
INDIGO-POJ-0105,metric-0105,842.21,Improved outcomes for individuals in housing sector,Refugees,645,Individual,387,Housing,SDG 14,SDG 6,Target 8.3,Target 8.1
INDIGO-POJ-0106,metric-0106,413.03,Improved outcomes for households in health sector,Refugees,592,Household,325,Health,SDG 5,SDG 15,Target 1.2,Target 2.2
INDIGO-POJ-0107,metric-0107,710.21,Improved outcomes for households in housing sector,Refugees,316,Household,189,Housing,SDG 3,SDG 5,Target 9.3,Target 7.3
INDIGO-POJ-0108,metric-0108,609.16,Improved outcomes for individuals in employment and training sector,Youth,275,Individual,165,Employment and training,SDG 15,SDG 7,Target 10.3,Target 8.2
INDIGO-POJ-0109,metric-0109,340.33,Improved outcomes for individuals in health sector,Women,405,Individual,222,Health,SDG 10,SDG 10,Target 3.2,Target 6.5
INDIGO-POJ-0110,metric-0110,890.77,Improved outcomes for individuals in housing sector,Disabled persons,788,Individual,472,Housing,SDG 5,SDG 3,Target 2.3,Target 7.4
INDIGO-POJ-0111,metric-0111,817.68,Improved outcomes for individuals in criminal justice sector,Disabled persons,256,Individual,153,Criminal justice,SDG 12,SDG 5,Target 9.5,Target 3.2
INDIGO-POJ-0112,metric-0112,692.61,Improved outcomes for individuals in criminal justice sector,Women,510,Individual,306,Criminal justice,SDG 10,SDG 3,Target 5.2,Target 9.3
INDIGO-POJ-0113,metric-0113,865.52,Improved outcomes for individuals in education sector,Refugees,415,Individual,269,Education,SDG 11,SDG 2,Target 1.1,Target 1.5
INDIGO-POJ-0114,metric-0114,880.56,Improved outcomes for individuals in employment and training sector,Youth,650,Individual,390,Employment and training,SDG 16,SDG 8,Target 7.3,Target 8.1
INDIGO-POJ-0116,metric-0116,737.53,Improved outcomes for familys in employment and training sector,Youth,447,Family,268,Employment and training,SDG 12,SDG 13,Target 3.3,Target 9.5
INDIGO-POJ-0117,metric-0117,853.31,Improved outcomes for individuals in employment and training sector,Refugees,981,Individual,588,Employment and training,SDG 13,SDG 14,Target 4.2,Target 6.5
INDIGO-POJ-0118,metric-0118,727.72,Improved outcomes for individuals in health sector,Refugees,251,Individual,138,Health,SDG 3,SDG 13,Target 9.4,Target 4.2
INDIGO-POJ-0119,metric-0119,712.13,Improved outcomes for individuals in criminal justice sector,Disabled persons,246,Individual,147,Criminal justice,SDG 1,SDG 4,Target 7.2,Target 5.3
INDIGO-POJ-0120,metric-0120,656.75,Improved outcomes for households in health sector,Youth,299,Household,164,Health,SDG 13,SDG 17,Target 8.5,Target 5.5
INDIGO-POJ-0121,metric-0121,777.44,Improved outcomes for households in education sector,Women,541,Household,351,Education,SDG 17,SDG 13,Target 9.1,Target 1.1
INDIGO-POJ-0122,metric-0122,242.74,Improved outcomes for familys in education sector,Disabled persons,776,Family,504,Education,SDG 13,SDG 10,Target 10.3,Target 9.5
INDIGO-POJ-0123,metric-0123,892.78,Improved outcomes for households in criminal justice sector,Women,252,Household,151,Criminal justice,SDG 10,SDG 1,Target 10.4,Target 5.5
INDIGO-POJ-0124,metric-0124,884.66,Improved outcomes for familys in education sector,Disabled persons,622,Family,404,Education,SDG 2,SDG 4,Target 4.1,Target 8.3
INDIGO-POJ-0126,metric-0126,126.32,Improved outcomes for households in criminal justice sector,Women,745,Household,447,Criminal justice,SDG 7,SDG 11,Target 8.5,Target 7.3
INDIGO-POJ-0127,metric-0127,843.24,Improved outcomes for households in education sector,Refugees,412,Household,267,Education,SDG 8,SDG 9,Target 9.3,Target 4.3
INDIGO-POJ-0128,metric-0128,215.98,Improved outcomes for households in health sector,Refugees,280,Household,153,Health,SDG 13,SDG 13,Target 6.2,Target 5.1
INDIGO-POJ-0129,metric-0129,401.61,Improved outcomes for households in criminal justice sector,Women,885,Household,531,Criminal justice,SDG 9,SDG 5,Target 2.5,Target 10.2
INDIGO-POJ-0130,metric-0130,769.16,Improved outcomes for familys in housing sector,Disabled persons,866,Family,519,Housing,SDG 4,SDG 5,Target 1.5,Target 3.4
INDIGO-POJ-0131,metric-0131,244.68,Improved outcomes for individuals in criminal justice sector,Disabled persons,966,Individual,579,Criminal justice,SDG 2,SDG 6,Target 7.2,Target 1.4
INDIGO-POJ-0132,metric-0132,836.17,Improved outcomes for familys in employment and training sector,Refugees,315,Family,189,Employment and training,SDG 15,SDG 17,Target 8.2,Target 9.4
INDIGO-POJ-0133,metric-0133,848.92,Improved outcomes for individuals in employment and training sector,Refugees,610,Individual,366,Employment and training,SDG 10,SDG 7,Target 3.5,Target 7.4
INDIGO-POJ-0134,metric-0134,556.72,Improved outcomes for households in health sector,Refugees,940,Household,516,Health,SDG 9,SDG 13,Target 4.4,Target 5.3
INDIGO-POJ-0135,metric-0135,105.75,Improved outcomes for households in health sector,Youth,502,Household,276,Health,SDG 15,SDG 10,Target 3.4,Target 9.3
INDIGO-POJ-0136,metric-0136,358.33,Improved outcomes for individuals in criminal justice sector,Women,972,Individual,583,Criminal justice,SDG 12,SDG 14,Target 9.4,Target 9.2
INDIGO-POJ-0137,metric-0137,655.23,Improved outcomes for individuals in criminal justice sector,Women,535,Individual,321,Criminal justice,SDG 4,SDG 2,Target 9.5,Target 4.5
INDIGO-POJ-0138,metric-0138,983.07,Improved outcomes for individuals in criminal justice sector,Disabled persons,259,Individual,155,Criminal justice,SDG 15,SDG 2,Target 8.2,Target 9.4
INDIGO-POJ-0139,metric-0139,668.63,Improved outcomes for households in health sector,Youth,683,Household,375,Health,SDG 7,SDG 3,Target 1.4,Target 6.1
INDIGO-POJ-0140,metric-0140,333.82,Improved outcomes for familys in housing sector,Refugees,382,Family,229,Housing,SDG 15,SDG 13,Target 7.1,Target 9.2
INDIGO-POJ-0141,metric-0141,670.61,Improved outcomes for individuals in housing sector,Women,393,Individual,235,Housing,SDG 14,SDG 13,Target 4.2,Target 8.3
INDIGO-POJ-0142,metric-0142,585.99,Improved outcomes for familys in education sector,Youth,958,Family,622,Education,SDG 7,SDG 3,Target 2.5,Target 1.4
INDIGO-POJ-0143,metric-0143,801.86,Improved outcomes for households in criminal justice sector,Refugees,509,Household,305,Criminal justice,SDG 10,SDG 8,Target 10.3,Target 10.5
INDIGO-POJ-0144,metric-0144,196.28,Improved outcomes for individuals in housing sector,Disabled persons,352,Individual,211,Housing,SDG 16,SDG 2,Target 6.4,Target 9.3
INDIGO-POJ-0145,metric-0145,784.93,Improved outcomes for familys in employment and training sector,Women,448,Family,268,Employment and training,SDG 5,SDG 15,Target 1.5,Target 7.4
INDIGO-POJ-0146,metric-0146,587.14,Improved outcomes for households in criminal justice sector,Youth,392,Household,235,Criminal justice,SDG 7,SDG 2,Target 5.4,Target 10.5
INDIGO-POJ-0147,metric-0147,966.69,Improved outcomes for households in education sector,Women,529,Household,343,Education,SDG 4,SDG 16,Target 4.5,Target 4.4
INDIGO-POJ-0148,metric-0148,407.68,Improved outcomes for familys in employment and training sector,Refugees,579,Family,347,Employment and training,SDG 12,SDG 17,Target 8.4,Target 2.4
INDIGO-POJ-0149,metric-0149,669.36,Improved outcomes for familys in criminal justice sector,Disabled persons,451,Family,270,Criminal justice,SDG 14,SDG 10,Target 3.2,Target 6.2
INDIGO-POJ-0150,metric-0150,938.83,Improved outcomes for households in education sector,Youth,234,Household,152,Education,SDG 12,SDG 6,Target 3.5,Target 8.2
INDIGO-POJ-0151,metric-0151,192.26,Improved outcomes for individuals in education sector,Disabled persons,699,Individual,454,Education,SDG 1,SDG 7,Target 9.4,Target 6.1
INDIGO-POJ-0152,metric-0152,943.51,Improved outcomes for households in criminal justice sector,Youth,352,Household,211,Criminal justice,SDG 10,SDG 1,Target 9.4,Target 3.1
INDIGO-POJ-0153,metric-0153,719.1,Improved outcomes for familys in health sector,Refugees,282,Family,155,Health,SDG 12,SDG 13,Target 8.5,Target 4.2
INDIGO-POJ-0154,metric-0154,161.05,Improved outcomes for households in health sector,Youth,243,Household,133,Health,SDG 1,SDG 6,Target 2.4,Target 7.3
INDIGO-POJ-0155,metric-0155,370.87,Improved outcomes for individuals in health sector,Refugees,412,Individual,226,Health,SDG 3,SDG 9,Target 9.5,Target 1.2
INDIGO-POJ-0156,metric-0156,737.35,Improved outcomes for households in education sector,Youth,963,Household,625,Education,SDG 8,SDG 13,Target 9.3,Target 7.2
INDIGO-POJ-0157,metric-0157,160.62,Improved outcomes for individuals in employment and training sector,Disabled persons,390,Individual,234,Employment and training,SDG 1,SDG 9,Target 8.4,Target 4.3
INDIGO-POJ-0158,metric-0158,623.95,Improved outcomes for familys in health sector,Refugees,293,Family,161,Health,SDG 9,SDG 5,Target 7.2,Target 7.3
INDIGO-POJ-0159,metric-0159,411.29,Improved outcomes for individuals in education sector,Youth,291,Individual,189,Education,SDG 14,SDG 15,Target 9.5,Target 9.4
INDIGO-POJ-0160,metric-0160,658.82,Improved outcomes for individuals in housing sector,Women,589,Individual,353,Housing,SDG 13,SDG 3,Target 9.2,Target 10.5
INDIGO-POJ-0161,metric-0161,141.17,Improved outcomes for households in education sector,Refugees,452,Household,293,Education,SDG 14,SDG 9,Target 7.3,Target 8.1
INDIGO-POJ-0162,metric-0162,884.38,Improved outcomes for individuals in employment and training sector,Disabled persons,640,Individual,384,Employment and training,SDG 1,SDG 13,Target 6.5,Target 7.3
INDIGO-POJ-0163,metric-0163,976.14,Improved outcomes for individuals in employment and training sector,Women,585,Individual,351,Employment and training,SDG 6,SDG 13,Target 6.3,Target 8.5
INDIGO-POJ-0164,metric-0164,971.99,Improved outcomes for households in criminal justice sector,Disabled persons,711,Household,426,Criminal justice,SDG 1,SDG 15,Target 4.4,Target 5.1
INDIGO-POJ-0165,metric-0165,774.69,Improved outcomes for individuals in health sector,Disabled persons,237,Individual,130,Health,SDG 15,SDG 16,Target 10.4,Target 9.5
INDIGO-POJ-0166,metric-0166,217.08,Improved outcomes for households in criminal justice sector,Youth,427,Household,256,Criminal justice,SDG 2,SDG 13,Target 6.4,Target 2.1
INDIGO-POJ-0167,metric-0167,782.44,Improved outcomes for familys in employment and training sector,Youth,345,Family,207,Employment and training,SDG 1,SDG 16,Target 2.3,Target 7.1
INDIGO-POJ-0168,metric-0168,122.13,Improved outcomes for individuals in housing sector,Youth,317,Individual,190,Housing,SDG 4,SDG 15,Target 8.3,Target 2.3
