Project ID,Outcome Metric Id - (Value),Period - Start - (Value),Period - End - (Value),Type - (Value),Payments - Currency - (Value),Payments - Amount - (Value),Payments - Amount USD - (Value)
INDIGO-POJ-0025,metric-0025,2023-04,2023-08,Actual,EUR,152445.32,167689.85
INDIGO-POJ-0026,metric-0026,2016-11,2017-04,Actual,EUR,265147.92,291662.71
INDIGO-POJ-0027,metric-0027,2017-11,2018-09,Actual,EUR,98139.8,107953.78
INDIGO-POJ-0028,metric-0028,2023-12,2024-06,Actual,GBP,132325.22,145557.74
INDIGO-POJ-0029,metric-0029,2019-11,2020-03,Actual,USD,47442.78,52187.06
INDIGO-POJ-0030,metric-0030,2015-03,2015-10,Actual,AUD,121447.38,133592.12
INDIGO-POJ-0031,metric-0031,2025-05,2026-02,Actual,AUD,122181.2,134399.32
INDIGO-POJ-0032,metric-0032,2013-07,2013-11,Projected,EUR,33703.67,37074.04
INDIGO-POJ-0033,metric-0033,2012-07,2012-11,Actual,GBP,95987.64,105586.4
INDIGO-POJ-0034,metric-0034,2015-06,2015-11,Actual,AUD,64175.08,70592.59
INDIGO-POJ-0035,metric-0035,2016-06,2016-09,Actual,AUD,96436.84,106080.52
INDIGO-POJ-0036,metric-0036,2017-09,2018-02,Actual,EUR,27302.0,30032.2
INDIGO-POJ-0037,metric-0037,2016-11,2017-09,Actual,USD,48395.88,53235.47
INDIGO-POJ-0038,metric-0038,2020-07,2020-11,Projected,GBP,25191.53,27710.68
INDIGO-POJ-0039,metric-0039,2017-06,2017-12,Projected,USD,186911.55,205602.71
INDIGO-POJ-0040,metric-0040,2022-01,2022-08,Actual,AUD,132405.0,145645.5
INDIGO-POJ-0041,metric-0041,2014-07,2015-07,Projected,EUR,46818.45,51500.3
INDIGO-POJ-0042,metric-0042,2015-10,2016-09,Projected,EUR,102481.92,112730.11
INDIGO-POJ-0043,metric-0043,2023-12,2024-06,Projected,EUR,63139.59,69453.55
INDIGO-POJ-0044,metric-0044,2025-08,2025-11,Actual,EUR,400132.43,440145.67
INDIGO-POJ-0045,metric-0045,2018-06,2019-06,Actual,EUR,88848.1,97732.91
INDIGO-POJ-0046,metric-0046,2010-12,2011-07,Actual,AUD,48365.96,53202.56
INDIGO-POJ-0047,metric-0047,2013-10,2014-02,Actual,USD,124189.02,136607.92
INDIGO-POJ-0048,metric-0048,2016-05,2016-11,Actual,EUR,286969.62,315666.58
INDIGO-POJ-0049,metric-0049,2025-08,2026-03,Actual,CAD,318337.1,350170.81
INDIGO-POJ-0050,metric-0050,2011-03,2012-02,Actual,GBP,72892.4,80181.64
INDIGO-POJ-0051,metric-0051,2024-09,2024-12,Actual,CAD,115416.39,126958.03
INDIGO-POJ-0052,metric-0052,2011-06,2012-04,Actual,CAD,79855.27,87840.8
INDIGO-POJ-0053,metric-0053,2024-10,2025-06,Actual,USD,210314.6,231346.06
INDIGO-POJ-0054,metric-0054,2024-11,2025-08,Actual,USD,53062.0,58368.2
INDIGO-POJ-0055,metric-0055,2012-06,2012-09,Actual,AUD,157444.36,173188.8
INDIGO-POJ-0056,metric-0056,2016-07,2017-05,Actual,AUD,111602.84,122763.12
INDIGO-POJ-0057,metric-0057,2015-03,2015-12,Actual,EUR,177914.0,195705.4
INDIGO-POJ-0058,metric-0058,2021-05,2021-10,Actual,AUD,145407.78,159948.56
INDIGO-POJ-0059,metric-0059,2017-01,2018-01,Actual,CAD,42448.8,46693.68
INDIGO-POJ-0060,metric-0060,2023-05,2024-05,Actual,CAD,82323.84,90556.22
INDIGO-POJ-0061,metric-0061,2011-12,2012-06,Actual,USD,74908.44,82399.28
INDIGO-POJ-0062,metric-0062,2014-06,2015-05,Projected,GBP,41239.66,45363.63
INDIGO-POJ-0063,metric-0063,2020-04,2020-07,Projected,AUD,82567.89,90824.68
INDIGO-POJ-0064,metric-0064,2010-11,2011-06,Actual,USD,151515.15,166666.66
INDIGO-POJ-0065,metric-0065,2021-11,2022-07,Actual,GBP,55653.96,61219.36
INDIGO-POJ-0066,metric-0066,2017-06,2018-05,Actual,AUD,219714.94,241686.43
INDIGO-POJ-0067,metric-0067,2018-10,2019-04,Actual,GBP,211316.76,232448.44
INDIGO-POJ-0068,metric-0068,2010-05,2011-02,Actual,USD,234679.98,258147.98
INDIGO-POJ-0069,metric-0069,2025-05,2026-02,Actual,AUD,362332.88,398566.17
INDIGO-POJ-0070,metric-0070,2017-12,2018-08,Actual,AUD,97986.82,107785.5
INDIGO-POJ-0071,metric-0071,2015-04,2016-03,Projected,USD,93607.1,102967.81
INDIGO-POJ-0072,metric-0072,2016-03,2016-07,Actual,GBP,72764.13,80040.54
INDIGO-POJ-0073,metric-0073,2024-01,2024-08,Actual,EUR,257152.68,282867.95
INDIGO-POJ-0074,metric-0074,2018-09,2018-12,Actual,CAD,65590.25,72149.28
INDIGO-POJ-0075,metric-0075,2022-06,2023-02,Projected,GBP,166015.75,182617.32
INDIGO-POJ-0076,metric-0076,2015-01,2015-07,Actual,EUR,111438.0,122581.8
INDIGO-POJ-0077,metric-0077,2017-08,2018-06,Actual,AUD,71139.84,78253.82
INDIGO-POJ-0078,metric-0078,2024-09,2025-03,Actual,CAD,195982.08,215580.29
INDIGO-POJ-0079,metric-0079,2011-12,2012-10,Actual,AUD,102651.3,112916.43
INDIGO-POJ-0080,metric-0080,2021-09,2022-03,Actual,USD,209018.88,229920.77
INDIGO-POJ-0081,metric-0081,2019-05,2019-12,Actual,USD,22974.84,25272.32
INDIGO-POJ-0082,metric-0082,2022-11,2023-04,Actual,CAD,191287.65,210416.42
INDIGO-POJ-0083,metric-0083,2019-07,2020-03,Actual,USD,86455.2,95100.72
INDIGO-POJ-0084,metric-0084,2023-07,2024-04,Actual,EUR,75579.44,83137.38
INDIGO-POJ-0085,metric-0085,2020-01,2020-07,Actual,AUD,261862.17,288048.39
INDIGO-POJ-0086,metric-0086,2014-08,2015-01,Actual,EUR,113290.62,124619.68
INDIGO-POJ-0087,metric-0087,2023-01,2023-07,Actual,AUD,92846.46,102131.11
INDIGO-POJ-0088,metric-0088,2013-02,2013-10,Projected,USD,132569.6,145826.56
INDIGO-POJ-0089,metric-0089,2025-06,2026-06,Actual,GBP,79317.8,87249.58
INDIGO-POJ-0090,metric-0090,2013-01,2013-11,Actual,AUD,207923.73,228716.1
INDIGO-POJ-0091,metric-0091,2013-04,2013-09,Actual,AUD,64540.98,70995.08
INDIGO-POJ-0092,metric-0092,2017-02,2017-06,Actual,EUR,99133.32,109046.65
INDIGO-POJ-0093,metric-0093,2022-07,2023-06,Actual,GBP,107984.16,118782.58
INDIGO-POJ-0094,metric-0094,2012-08,2013-02,Actual,GBP,88785.48,97664.03
INDIGO-POJ-0095,metric-0095,2017-02,2017-07,Actual,EUR,100644.72,110709.19
INDIGO-POJ-0096,metric-0096,2010-08,2011-05,Actual,USD,96693.33,106362.66
INDIGO-POJ-0097,metric-0097,2019-04,2020-02,Actual,AUD,66581.9,73240.09
INDIGO-POJ-0098,metric-0098,2016-10,2017-09,Actual,GBP,119860.32,131846.35
INDIGO-POJ-0099,metric-0099,2024-04,2024-11,Actual,AUD,96515.55,106167.1
INDIGO-POJ-0100,metric-0100,2013-05,2013-12,Actual,CAD,50050.44,55055.48
INDIGO-POJ-0101,metric-0101,2012-05,2012-10,Actual,EUR,203531.15,223884.26
INDIGO-POJ-0102,metric-0102,2014-02,2014-06,Actual,AUD,126040.53,138644.58
INDIGO-POJ-0103,metric-0103,2023-09,2024-05,Actual,EUR,146445.75,161090.33
INDIGO-POJ-0104,metric-0104,2023-08,2024-02,Actual,GBP,101307.2,111437.92
INDIGO-POJ-0105,metric-0105,2023-05,2023-12,Actual,EUR,219816.81,241798.49
INDIGO-POJ-0106,metric-0106,2015-03,2015-06,Projected,EUR,52041.78,57245.96
INDIGO-POJ-0107,metric-0107,2018-01,2018-06,Actual,EUR,93037.51,102341.26
INDIGO-POJ-0108,metric-0108,2025-06,2026-05,Actual,USD,68835.08,75718.59
INDIGO-POJ-0109,metric-0109,2013-01,2013-12,Actual,EUR,54112.47,59523.72
INDIGO-POJ-0110,metric-0110,2023-07,2024-06,Actual,CAD,290391.02,319430.12
INDIGO-POJ-0111,metric-0111,2025-12,2026-09,Actual,AUD,87491.76,96240.94
INDIGO-POJ-0112,metric-0112,2014-02,2014-12,Actual,GBP,141292.44,155421.68
INDIGO-POJ-0113,metric-0113,2021-01,2021-12,Actual,CAD,153197.04,168516.74
INDIGO-POJ-0114,metric-0114,2013-01,2013-07,Actual,CAD,248317.92,273149.71
INDIGO-POJ-0116,metric-0116,2014-05,2014-11,Actual,GBP,141605.76,155766.34
INDIGO-POJ-0117,metric-0117,2010-09,2011-07,Actual,USD,334497.52,367947.27
INDIGO-POJ-0118,metric-0118,2010-05,2010-12,Actual,EUR,72772.0,80049.2
INDIGO-POJ-0119,metric-0119,2019-04,2019-10,Actual,AUD,71925.13,79117.64
INDIGO-POJ-0120,metric-0120,2025-01,2025-08,Actual,CAD,74869.5,82356.45
INDIGO-POJ-0121,metric-0121,2014-08,2014-12,Actual,EUR,196692.32,216361.55
INDIGO-POJ-0122,metric-0122,2013-12,2014-10,Actual,EUR,85201.74,93721.91
INDIGO-POJ-0123,metric-0123,2023-11,2024-10,Actual,USD,96420.24,106062.26
INDIGO-POJ-0124,metric-0124,2025-06,2026-02,Actual,AUD,232665.58,255932.14
INDIGO-POJ-0126,metric-0126,2020-04,2020-11,Actual,USD,38780.24,42658.26
INDIGO-POJ-0127,metric-0127,2019-08,2020-05,Actual,EUR,156842.64,172526.9
INDIGO-POJ-0128,metric-0128,2010-12,2011-09,Actual,EUR,22677.9,24945.69
INDIGO-POJ-0129,metric-0129,2017-01,2017-10,Actual,GBP,153415.02,168756.52
INDIGO-POJ-0130,metric-0130,2023-09,2024-09,Actual,AUD,274590.12,302049.13
INDIGO-POJ-0131,metric-0131,2021-10,2022-01,Projected,USD,54563.64,60020.0
INDIGO-POJ-0132,metric-0132,2021-09,2022-01,Actual,USD,109538.27,120492.1
INDIGO-POJ-0133,metric-0133,2020-02,2021-01,Actual,GBP,214776.76,236254.44
INDIGO-POJ-0134,metric-0134,2010-12,2011-07,Projected,EUR,111344.0,122478.4
INDIGO-POJ-0135,metric-0135,2021-08,2022-08,Actual,GBP,19140.75,21054.82
INDIGO-POJ-0136,metric-0136,2018-11,2019-03,Actual,GBP,146198.64,160818.5
INDIGO-POJ-0137,metric-0137,2022-07,2023-04,Actual,EUR,145461.06,160007.17
INDIGO-POJ-0138,metric-0138,2021-07,2021-11,Actual,AUD,104205.42,114625.96
INDIGO-POJ-0139,metric-0139,2014-04,2014-11,Actual,AUD,179192.84,197112.12
INDIGO-POJ-0140,metric-0140,2019-11,2020-08,Projected,AUD,28040.88,30844.97
INDIGO-POJ-0141,metric-0141,2016-10,2017-06,Actual,USD,103273.94,113601.33
INDIGO-POJ-0142,metric-0142,2020-05,2020-10,Actual,CAD,249631.74,274594.91
INDIGO-POJ-0143,metric-0143,2019-06,2020-02,Actual,USD,167588.74,184347.61
INDIGO-POJ-0144,metric-0144,2023-10,2024-01,Projected,CAD,16291.24,17920.36
INDIGO-POJ-0145,metric-0145,2025-06,2026-06,Actual,GBP,149921.63,164913.79
INDIGO-POJ-0146,metric-0146,2013-03,2014-02,Actual,EUR,93942.4,103336.64
INDIGO-POJ-0147,metric-0147,2024-06,2025-05,Actual,USD,231038.91,254142.8
INDIGO-POJ-0148,metric-0148,2012-01,2012-12,Actual,EUR,98250.88,108075.97
INDIGO-POJ-0149,metric-0149,2012-07,2013-01,Actual,USD,127178.4,139896.24
INDIGO-POJ-0150,metric-0150,2023-02,2023-07,Projected,AUD,50696.82,55766.5
INDIGO-POJ-0151,metric-0151,2018-10,2019-08,Actual,GBP,59600.6,65560.66
INDIGO-POJ-0152,metric-0152,2017-04,2018-02,Actual,USD,140582.99,154641.29
INDIGO-POJ-0153,metric-0153,2010-07,2011-01,Actual,EUR,79820.1,87802.11
INDIGO-POJ-0154,metric-0154,2020-03,2020-09,Actual,CAD,14333.45,15766.8
INDIGO-POJ-0155,metric-0155,2020-03,2020-07,Actual,AUD,59710.07,65681.08
INDIGO-POJ-0156,metric-0156,2015-08,2016-04,Actual,USD,336968.95,370665.84
INDIGO-POJ-0157,metric-0157,2025-07,2025-12,Actual,EUR,25056.72,27562.39
INDIGO-POJ-0158,metric-0158,2012-10,2013-02,Actual,GBP,66762.65,73438.92
INDIGO-POJ-0159,metric-0159,2012-07,2013-06,Projected,GBP,28379.01,31216.91
INDIGO-POJ-0160,metric-0160,2024-03,2024-12,Actual,USD,156799.16,172479.08
INDIGO-POJ-0161,metric-0161,2011-11,2012-11,Actual,GBP,28798.68,31678.55
INDIGO-POJ-0162,metric-0162,2025-11,2026-08,Actual,USD,244973.26,269470.59
INDIGO-POJ-0163,metric-0163,2021-06,2021-12,Actual,GBP,231345.18,254479.7
INDIGO-POJ-0164,metric-0164,2018-06,2019-04,Actual,CAD,284793.07,313272.38
INDIGO-POJ-0165,metric-0165,2010-12,2011-06,Projected,AUD,37185.12,40903.63
INDIGO-POJ-0166,metric-0166,2017-07,2017-12,Actual,EUR,38206.08,42026.69
INDIGO-POJ-0167,metric-0167,2013-08,2014-02,Actual,CAD,114236.24,125659.86
INDIGO-POJ-0168,metric-0168,2014-01,2014-05,Actual,AUD,15754.77,17330.25
INDIGO-POJ-0169,metric-0169,2019-05,2020-02,Actual,GBP,19545.33,21499.86
INDIGO-POJ-0170,metric-0170,2016-12,2017-10,Actual,AUD,62208.75,68429.62
INDIGO-POJ-0171,metric-0171,2016-06,2016-12,Actual,AUD,79887.44,87876.18
INDIGO-POJ-0172,metric-0172,2012-08,2013-01,Actual,GBP,238804.37,262684.81
INDIGO-POJ-0173,metric-0173,2014-07,2014-10,Actual,CAD,74356.88,81792.57
INDIGO-POJ-0174,metric-0174,2023-12,2024-07,Actual,CAD,102768.55,113045.41
INDIGO-POJ-0175,metric-0175,2010-04,2011-03,Projected,AUD,79639.8,87603.78
INDIGO-POJ-0176,metric-0176,2021-02,2022-02,Projected,GBP,205466.46,226013.11
INDIGO-POJ-0177,metric-0177,2022-03,2022-06,Actual,AUD,146518.68,161170.55
INDIGO-POJ-0178,metric-0178,2023-08,2024-07,Actual,CAD,72393.75,79633.12
INDIGO-POJ-0179,metric-0179,2015-05,2015-11,Actual,AUD,97420.44,107162.48
INDIGO-POJ-0180,metric-0180,2023-03,2024-02,Projected,CAD,114146.2,125560.82
INDIGO-POJ-0181,metric-0181,2020-03,2020-12,Actual,CAD,108646.5,119511.15
INDIGO-POJ-0182,metric-0182,2019-11,2020-04,Actual,GBP,77360.71,85096.78
INDIGO-POJ-0183,metric-0183,2023-06,2023-09,Actual,USD,13582.92,14941.21
INDIGO-POJ-0184,metric-0184,2015-06,2016-02,Actual,GBP,90481.15,99529.27
INDIGO-POJ-0188,metric-0188,2023-11,2024-06,Actual,USD,82687.2,90955.92
INDIGO-POJ-0189,metric-0189,2011-02,2011-08,Actual,EUR,34593.0,38052.3
INDIGO-POJ-0190,metric-0190,2013-04,2013-08,Actual,GBP,312540.06,343794.07
INDIGO-POJ-0191,metric-0191,2024-08,2025-05,Actual,AUD,41055.3,45160.83
INDIGO-POJ-0192,metric-0192,2010-10,2011-04,Actual,EUR,104667.4,115134.14
INDIGO-POJ-0193,metric-0193,2010-09,2011-05,Actual,EUR,128148.75,140963.62
INDIGO-POJ-0194,metric-0194,2017-06,2017-10,Actual,USD,119437.5,131381.25
INDIGO-POJ-0195,metric-0195,2011-02,2011-07,Actual,EUR,161920.8,178112.88
INDIGO-POJ-0196,metric-0196,2019-05,2019-11,Actual,GBP,118120.14,129932.15
INDIGO-POJ-0197,metric-0197,2013-08,2014-04,Actual,CAD,109932.43,120925.67
INDIGO-POJ-0198,metric-0198,2023-09,2024-03,Projected,AUD,86731.04,95404.14
INDIGO-POJ-0199,metric-0199,2020-03,2020-12,Actual,EUR,196259.6,215885.56
INDIGO-POJ-0200,metric-0200,2010-10,2011-03,Actual,EUR,97706.52,107477.17
INDIGO-POJ-0201,metric-0201,2016-09,2017-05,Actual,USD,43281.36,47609.5
INDIGO-POJ-0202,metric-0202,2018-04,2019-01,Projected,EUR,20717.09,22788.8
INDIGO-POJ-0203,metric-0203,2011-07,2012-05,Projected,CAD,15490.42,17039.46
INDIGO-POJ-0204,metric-0204,2022-05,2022-09,Actual,USD,188101.0,206911.1
INDIGO-POJ-0205,metric-0205,2016-07,2017-06,Actual,USD,34533.6,37986.96
INDIGO-POJ-0206,metric-0206,2013-01,2013-06,Actual,USD,74623.2,82085.52
INDIGO-POJ-0207,metric-0207,2025-07,2026-03,Actual,EUR,135679.62,149247.58
INDIGO-POJ-0209,metric-0209,2017-05,2018-05,Actual,GBP,427402.8,470143.08
INDIGO-POJ-0210,metric-0210,2019-04,2020-04,Actual,AUD,88634.04,97497.44
INDIGO-POJ-0211,metric-0211,2014-09,2015-04,Actual,GBP,305970.72,336567.79
INDIGO-POJ-0212,metric-0212,2023-09,2024-01,Actual,EUR,86285.52,94914.07
INDIGO-POJ-0213,metric-0213,2012-06,2013-06,Projected,EUR,142095.57,156305.13
INDIGO-POJ-0214,metric-0214,2011-12,2012-11,Actual,CAD,324333.1,356766.41
INDIGO-POJ-0215,metric-0215,2025-06,2026-02,Projected,AUD,141285.6,155414.16
INDIGO-POJ-0216,metric-0216,2019-07,2020-04,Actual,GBP,120775.2,132852.72
INDIGO-POJ-0217,metric-0217,2015-10,2016-10,Actual,USD,63472.92,69820.21
INDIGO-POJ-0218,metric-0218,2022-11,2023-08,Actual,GBP,28310.13,31141.14
INDIGO-POJ-0219,metric-0219,2012-11,2013-11,Actual,USD,110522.44,121574.68
INDIGO-POJ-0220,metric-0220,2021-08,2022-08,Actual,CAD,70738.92,77812.81
INDIGO-POJ-0221,metric-0221,2021-01,2021-07,Projected,CAD,102926.88,113219.57
INDIGO-POJ-0222,metric-0222,2023-09,2024-03,Actual,USD,163211.22,179532.34
INDIGO-POJ-0223,metric-0223,2025-11,2026-07,Actual,GBP,51600.58,56760.64
INDIGO-POJ-0224,metric-0224,2014-05,2014-08,Actual,EUR,82728.63,91001.49
INDIGO-POJ-0225,metric-0225,2012-08,2012-12,Actual,GBP,264576.69,291034.36
INDIGO-POJ-0226,metric-0226,2020-06,2020-11,Actual,EUR,70655.6,77721.16
INDIGO-POJ-0227,metric-0227,2014-08,2015-06,Actual,EUR,54972.12,60469.33
INDIGO-POJ-0228,metric-0228,2019-04,2019-08,Actual,AUD,116624.6,128287.06
INDIGO-POJ-0229,metric-0229,2017-06,2018-03,Actual,USD,47968.16,52764.98
INDIGO-POJ-0231,metric-0231,2022-07,2023-02,Actual,USD,93565.5,102922.05
INDIGO-POJ-0232,metric-0232,2010-04,2010-10,Actual,EUR,96811.47,106492.62
INDIGO-POJ-0233,metric-0233,2025-06,2026-02,Actual,CAD,272327.4,299560.14
INDIGO-POJ-0234,metric-0234,2015-09,2016-01,Actual,GBP,72831.36,80114.5
INDIGO-POJ-0235,metric-0235,2016-11,2017-07,Actual,EUR,66770.7,73447.77
INDIGO-POJ-0236,metric-0236,2021-05,2022-01,Actual,EUR,37887.78,41676.56
INDIGO-POJ-0237,metric-0237,2010-02,2010-07,Actual,USD,64593.2,71052.52
INDIGO-POJ-0238,metric-0238,2025-05,2026-02,Actual,CAD,63453.6,69798.96
INDIGO-POJ-0239,metric-0239,2017-08,2018-06,Actual,EUR,122346.2,134580.82
INDIGO-POJ-0240,metric-0240,2022-10,2023-01,Actual,CAD,92162.88,101379.17
INDIGO-POJ-0241,metric-0241,2013-12,2014-06,Actual,GBP,78662.5,86528.75
INDIGO-POJ-0242,metric-0242,2017-05,2018-02,Projected,USD,126233.52,138856.87
INDIGO-POJ-0243,metric-0243,2025-01,2025-12,Actual,GBP,263107.11,289417.82
INDIGO-POJ-0244,metric-0244,2020-08,2020-12,Actual,EUR,122686.11,134954.72
INDIGO-POJ-0245,metric-0245,2024-06,2024-12,Actual,USD,12887.7,14176.47
INDIGO-POJ-0246,metric-0246,2020-10,2021-04,Actual,USD,193815.44,213196.98
INDIGO-POJ-0247,metric-0247,2024-01,2024-12,Actual,CAD,25082.76,27591.04
INDIGO-POJ-0248,metric-0248,2022-01,2022-10,Actual,GBP,60071.76,66078.94
INDIGO-POJ-0249,metric-0249,2020-05,2021-03,Actual,AUD,261820.0,288002.0
INDIGO-POJ-0250,metric-0250,2011-04,2012-03,Actual,EUR,63225.25,69547.78
INDIGO-POJ-0251,metric-0251,2016-09,2017-05,Actual,EUR,76860.0,84546.0
INDIGO-POJ-0252,metric-0252,2022-06,2023-06,Actual,USD,261223.32,287345.65
INDIGO-POJ-0253,metric-0253,2010-06,2010-12,Actual,AUD,159623.96,175586.36
INDIGO-POJ-0254,metric-0254,2022-12,2023-08,Actual,EUR,248716.16,273587.78
INDIGO-POJ-0259,metric-0259,2017-12,2018-04,Actual,CAD,31005.15,34105.66
INDIGO-POJ-0260,metric-0260,2013-05,2013-12,Projected,USD,64980.3,71478.33
INDIGO-POJ-0261,metric-0261,2010-09,2011-06,Actual,GBP,136391.54,150030.69
INDIGO-POJ-0262,metric-0262,2018-06,2019-05,Projected,USD,13610.08,14971.09
INDIGO-POJ-0263,metric-0263,2013-09,2014-07,Actual,USD,115110.12,126621.13
INDIGO-POJ-0264,metric-0264,2014-03,2014-08,Projected,AUD,15845.36,17429.9
INDIGO-POJ-0265,metric-0265,2016-11,2017-08,Actual,AUD,31241.76,34365.94
INDIGO-POJ-0266,metric-0266,2025-12,2026-03,Actual,GBP,37035.63,40739.19
INDIGO-POJ-0267,metric-0267,2016-02,2016-11,Actual,USD,21285.68,23414.25
INDIGO-POJ-0268,metric-0268,2011-12,2012-11,Actual,GBP,68408.48,75249.33
INDIGO-POJ-0269,metric-0269,2015-05,2016-02,Actual,EUR,78536.68,86390.35
INDIGO-POJ-0270,metric-0270,2020-02,2020-10,Projected,CAD,132105.33,145315.86
INDIGO-POJ-0271,metric-0271,2014-11,2015-10,Actual,EUR,82921.44,91213.58
INDIGO-POJ-0272,metric-0272,2016-10,2017-04,Actual,EUR,90262.8,99289.08
INDIGO-POJ-0273,metric-0273,2012-07,2013-04,Actual,CAD,52603.81,57864.19
INDIGO-POJ-0274,metric-0274,2010-11,2011-05,Actual,AUD,71315.74,78447.31
INDIGO-POJ-0275,metric-0275,2012-01,2012-12,Actual,GBP,107431.18,118174.3
INDIGO-POJ-0276,metric-0276,2021-05,2021-08,Actual,AUD,47775.96,52553.56
INDIGO-POJ-0280,metric-0280,2020-10,2021-10,Actual,USD,233762.32,257138.55
INDIGO-POJ-0281,metric-0281,2013-06,2013-12,Actual,GBP,14530.23,15983.25
INDIGO-POJ-0282,metric-0282,2017-08,2018-07,Actual,GBP,81616.63,89778.29
INDIGO-POJ-0283,metric-0283,2021-09,2022-06,Actual,CAD,101864.7,112051.17
INDIGO-POJ-0284,metric-0284,2017-05,2017-10,Actual,GBP,229806.2,252786.82
INDIGO-POJ-0285,metric-0285,2012-03,2013-03,Actual,AUD,230230.8,253253.88
INDIGO-POJ-0286,metric-0286,2025-03,2025-08,Actual,GBP,140486.76,154535.44
INDIGO-POJ-0287,metric-0287,2014-08,2014-11,Actual,GBP,91239.75,100363.72
INDIGO-POJ-0288,metric-0288,2020-04,2021-02,Actual,GBP,149167.86,164084.65
INDIGO-POJ-0289,metric-0289,2021-09,2022-02,Actual,GBP,40271.4,44298.54
INDIGO-POJ-0290,metric-0290,2010-02,2010-10,Actual,CAD,264356.36,290792.0
INDIGO-POJ-0291,metric-0291,2010-12,2011-05,Actual,AUD,85367.52,93904.27
INDIGO-POJ-0295,metric-0295,2017-06,2018-05,Actual,GBP,222261.62,244487.78
INDIGO-POJ-0299,metric-0299,2011-01,2011-06,Actual,GBP,156183.72,171802.09
INDIGO-POJ-0300,metric-0300,2021-09,2022-05,Actual,USD,290706.16,319776.78
INDIGO-POJ-0301,metric-0301,2010-07,2011-03,Actual,AUD,199094.72,219004.19
INDIGO-POJ-0302,metric-0302,2024-04,2024-11,Actual,USD,67500.27,74250.3
INDIGO-POJ-0304,metric-0304,2017-03,2017-09,Actual,EUR,28275.61,31103.17
INDIGO-POJ-0305,metric-0305,2014-04,2014-12,Actual,USD,49845.36,54829.9
INDIGO-POJ-0306,metric-0306,2016-03,2017-03,Actual,GBP,109290.21,120219.23
INDIGO-POJ-0308,metric-0308,2017-02,2018-01,Actual,GBP,65282.12,71810.33
INDIGO-POJ-0309,metric-0309,2025-01,2025-06,Actual,CAD,209652.57,230617.83
INDIGO-POJ-0311,metric-0311,2016-02,2016-07,Actual,GBP,46674.53,51341.98
INDIGO-POJ-0312,metric-0312,2013-07,2014-03,Projected,GBP,211308.48,232439.33
INDIGO-POJ-0313,metric-0313,2012-07,2012-10,Actual,EUR,97576.82,107334.5
INDIGO-POJ-0314,metric-0314,2023-12,2024-12,Actual,EUR,107939.19,118733.11
INDIGO-POJ-0315,metric-0315,2012-04,2012-10,Actual,USD,143499.21,157849.13
INDIGO-POJ-0316,metric-0316,2022-03,2022-11,Projected,USD,143417.88,157759.67
INDIGO-POJ-0317,metric-0317,2022-04,2023-01,Actual,GBP,60321.8,66353.98
INDIGO-POJ-0318,metric-0318,2016-01,2016-07,Actual,EUR,177549.68,195304.65
