Project ID,Total investment commitment,Maximum potential outcome payment,Outcome pricing
INDIGO-POJ-0053,474692.0,421876.2,992.05
INDIGO-POJ-0054,469877.45,137770.18,308.5
INDIGO-POJ-0055,203176.65,434560.07,948.46
INDIGO-POJ-0056,311860.23,267704.18,684.68
INDIGO-POJ-0057,137241.11,511537.93,646.96
INDIGO-POJ-0058,235611.92,371737.6,561.42
INDIGO-POJ-0059,390382.27,113880.52,307.6
INDIGO-POJ-0060,356812.66,251274.88,258.88
INDIGO-POJ-0061,164651.49,153518.18,298.44
INDIGO-POJ-0062,102024.63,152020.1,267.79
INDIGO-POJ-0063,319493.52,331876.69,801.63
INDIGO-POJ-0064,384871.69,308093.37,415.11
INDIGO-POJ-0065,230159.88,122086.99,152.06
INDIGO-POJ-0066,363045.16,573271.69,972.19
INDIGO-POJ-0067,137469.91,421452.02,895.41
INDIGO-POJ-0068,489204.22,490477.02,934.98
INDIGO-POJ-0069,456818.62,937331.7,995.42
INDIGO-POJ-0070,330761.55,271526.64,256.51
INDIGO-POJ-0071,178097.2,415849.58,456.62
INDIGO-POJ-0072,476183.43,168704.96,782.41
INDIGO-POJ-0073,465945.76,478725.1,726.42
INDIGO-POJ-0074,485447.99,134044.19,238.51
INDIGO-POJ-0075,217779.56,914914.12,834.25
INDIGO-POJ-0076,167797.1,323442.26,302.0
INDIGO-POJ-0077,474461.91,135862.18,301.44
INDIGO-POJ-0078,346002.89,529605.0,583.28
INDIGO-POJ-0079,156033.61,257530.87,633.65
INDIGO-POJ-0080,378806.3,578040.17,622.08
INDIGO-POJ-0081,243796.46,56576.29,182.34
INDIGO-POJ-0082,446828.93,454792.27,889.71
INDIGO-POJ-0083,304536.96,204541.62,339.04
INDIGO-POJ-0084,380786.75,192204.02,216.56
INDIGO-POJ-0085,456002.14,556057.82,899.87
INDIGO-POJ-0086,331312.06,215944.47,960.09
INDIGO-POJ-0087,286239.21,207814.2,875.91
INDIGO-POJ-0088,112200.1,687535.82,828.56
INDIGO-POJ-0089,429040.22,173734.97,689.72
INDIGO-POJ-0090,407997.42,549180.49,595.77
INDIGO-POJ-0091,349156.19,193799.06,178.29
INDIGO-POJ-0092,316254.05,202092.21,467.61
INDIGO-POJ-0093,390436.53,253222.08,435.42
INDIGO-POJ-0094,418074.48,215011.92,333.78
INDIGO-POJ-0095,275588.57,293833.46,751.08
INDIGO-POJ-0096,263581.18,203141.86,546.29
INDIGO-POJ-0097,162574.82,161119.31,172.94
INDIGO-POJ-0098,364078.95,336454.07,298.16
INDIGO-POJ-0099,481946.11,292200.79,714.93
INDIGO-POJ-0100,267840.02,123174.09,168.52
INDIGO-POJ-0101,242389.07,472350.74,866.09
INDIGO-POJ-0102,289669.53,298816.26,545.63
INDIGO-POJ-0103,296646.35,372166.71,532.53
INDIGO-POJ-0104,259401.89,250004.42,633.17
INDIGO-POJ-0105,354037.46,441183.17,842.21
INDIGO-POJ-0106,301254.5,286662.91,413.03
INDIGO-POJ-0107,363477.45,241440.28,710.21
INDIGO-POJ-0108,110604.52,179346.74,609.16
INDIGO-POJ-0109,476092.1,122157.84,340.33
INDIGO-POJ-0110,283301.16,746537.15,890.77
INDIGO-POJ-0111,476585.92,200439.3,817.68
INDIGO-POJ-0112,128475.46,374599.18,692.61
INDIGO-POJ-0113,437950.12,302667.53,865.52
INDIGO-POJ-0114,147265.93,608501.99,880.56
INDIGO-POJ-0116,351577.14,395533.78,737.53
INDIGO-POJ-0117,212813.83,685820.95,853.31
INDIGO-POJ-0118,400245.9,217521.54,727.72
INDIGO-POJ-0119,248807.23,168660.69,712.13
INDIGO-POJ-0120,236321.42,225489.93,656.75
INDIGO-POJ-0121,400348.43,468103.01,777.44
INDIGO-POJ-0122,141249.55,193415.68,242.74
INDIGO-POJ-0123,228019.84,246439.13,892.78
INDIGO-POJ-0124,255680.67,633571.09,884.66
INDIGO-POJ-0126,480242.86,90499.92,126.32
INDIGO-POJ-0127,352734.88,323378.38,843.24
INDIGO-POJ-0128,369007.38,64528.44,215.98
INDIGO-POJ-0129,416631.62,399191.29,401.61
INDIGO-POJ-0130,123023.5,735975.03,769.16
INDIGO-POJ-0131,276612.2,264517.48,244.68
INDIGO-POJ-0132,157196.67,256606.77,836.17
INDIGO-POJ-0133,347287.23,583676.26,848.92
INDIGO-POJ-0134,129105.2,443816.41,556.72
INDIGO-POJ-0135,382496.89,54031.21,105.75
INDIGO-POJ-0136,425119.83,279439.7,358.33
INDIGO-POJ-0137,494400.43,325951.61,655.23
INDIGO-POJ-0138,410858.77,241014.76,983.07
INDIGO-POJ-0139,269688.8,437708.19,668.63
INDIGO-POJ-0140,104541.46,137489.57,333.82
INDIGO-POJ-0141,122521.31,251801.54,670.61
INDIGO-POJ-0142,398417.95,549857.5,585.99
INDIGO-POJ-0143,484869.02,365298.54,801.86
INDIGO-POJ-0144,189438.34,65587.72,196.28
INDIGO-POJ-0145,104861.79,313286.53,784.93
INDIGO-POJ-0146,129518.63,190865.78,587.14
INDIGO-POJ-0147,487721.01,532539.59,966.69
INDIGO-POJ-0148,281816.43,251929.15,407.68
INDIGO-POJ-0149,333725.72,316310.12,669.36
INDIGO-POJ-0150,210952.47,216478.28,938.83
INDIGO-POJ-0151,285479.36,127927.52,192.26
INDIGO-POJ-0152,489757.92,380383.02,943.51
INDIGO-POJ-0153,379264.69,204334.01,719.1
INDIGO-POJ-0154,373892.47,38809.26,161.05
INDIGO-POJ-0155,464370.87,123805.98,370.87
INDIGO-POJ-0156,473091.39,664978.11,737.35
INDIGO-POJ-0157,118087.47,59639.9,160.62
INDIGO-POJ-0158,494910.45,175418.57,623.95
INDIGO-POJ-0159,337652.29,123523.57,411.29
INDIGO-POJ-0160,265927.8,393260.7,658.82
INDIGO-POJ-0161,122550.2,66562.96,141.17
INDIGO-POJ-0162,407594.97,625973.11,884.38
INDIGO-POJ-0163,439858.96,642533.09,976.14
INDIGO-POJ-0164,481620.41,751381.51,971.99
INDIGO-POJ-0165,191457.12,217055.47,774.69
INDIGO-POJ-0166,145423.04,74830.54,217.08
INDIGO-POJ-0167,308123.08,237092.9,782.44
INDIGO-POJ-0168,320762.74,31089.29,122.13
INDIGO-POJ-0169,450661.44,49269.59,119.91
INDIGO-POJ-0170,381631.91,177334.84,391.25
INDIGO-POJ-0171,154548.59,182132.43,539.78
INDIGO-POJ-0172,256897.62,752399.73,793.37
INDIGO-POJ-0173,461663.48,149659.78,714.97
INDIGO-POJ-0174,258617.11,293624.0,501.31
INDIGO-POJ-0175,444945.48,317240.71,346.26
INDIGO-POJ-0176,283654.3,800663.65,997.41
INDIGO-POJ-0177,297047.24,361101.27,483.56
INDIGO-POJ-0178,130345.33,159492.04,506.25
INDIGO-POJ-0179,151218.34,218525.63,247.26
INDIGO-POJ-0180,172752.03,531251.65,815.33
INDIGO-POJ-0181,458715.36,293169.5,724.31
INDIGO-POJ-0182,176915.61,183538.14,298.69
INDIGO-POJ-0183,167574.03,33487.26,174.14
INDIGO-POJ-0184,182533.49,252923.59,712.45
INDIGO-POJ-0188,301366.91,215607.26,689.06
INDIGO-POJ-0189,449431.45,71384.13,345.93
INDIGO-POJ-0190,124431.18,745564.86,955.78
INDIGO-POJ-0191,173808.41,84110.72,235.95
INDIGO-POJ-0192,248188.84,220614.27,489.1
INDIGO-POJ-0193,285013.89,323730.5,949.25
INDIGO-POJ-0194,114673.28,241786.26,477.75
INDIGO-POJ-0195,304670.98,387069.73,674.67
INDIGO-POJ-0196,142868.8,338845.22,457.83
INDIGO-POJ-0197,207697.29,208671.88,346.79
INDIGO-POJ-0198,108028.48,409907.24,985.58
INDIGO-POJ-0199,147904.85,384738.54,468.4
INDIGO-POJ-0200,337436.98,261619.76,904.69
INDIGO-POJ-0201,134768.12,101544.91,306.96
INDIGO-POJ-0202,334736.45,100871.3,291.79
INDIGO-POJ-0203,213510.36,66732.51,128.02
INDIGO-POJ-0204,358366.9,372023.28,686.5
INDIGO-POJ-0205,140712.99,100934.74,431.67
INDIGO-POJ-0206,198383.09,238380.83,877.92
INDIGO-POJ-0207,169349.44,339851.35,525.89
INDIGO-POJ-0209,132093.5,1095390.19,971.37
INDIGO-POJ-0210,144815.56,228534.99,266.97
INDIGO-POJ-0211,487788.17,633397.23,881.76
INDIGO-POJ-0212,168355.03,181677.53,798.94
INDIGO-POJ-0213,471750.4,611853.67,793.83
INDIGO-POJ-0214,407797.17,766627.2,860.3
INDIGO-POJ-0215,229471.69,727566.47,784.92
INDIGO-POJ-0216,145934.73,362567.39,663.6
INDIGO-POJ-0217,215452.22,155846.46,218.12
INDIGO-POJ-0218,313035.77,63615.26,129.27
INDIGO-POJ-0219,234641.71,312991.83,928.76
INDIGO-POJ-0220,201856.26,151977.47,654.99
INDIGO-POJ-0221,404091.14,474981.86,816.88
INDIGO-POJ-0222,239547.31,349559.4,533.37
INDIGO-POJ-0223,432247.76,137756.8,205.58
INDIGO-POJ-0224,475336.18,173806.42,212.67
INDIGO-POJ-0225,126598.51,710391.48,717.01
INDIGO-POJ-0226,155908.95,168691.27,487.28
INDIGO-POJ-0227,180650.93,139869.86,280.47
INDIGO-POJ-0228,366078.89,239907.6,542.44
INDIGO-POJ-0229,243532.19,112626.82,157.79
INDIGO-POJ-0231,275653.96,283573.44,623.77
INDIGO-POJ-0232,285071.91,212330.87,342.09
INDIGO-POJ-0233,192885.08,538156.86,817.8
INDIGO-POJ-0234,253556.49,140629.23,379.33
INDIGO-POJ-0235,146759.22,163748.13,509.7
INDIGO-POJ-0236,351083.22,106898.03,110.46
INDIGO-POJ-0237,348029.1,160544.62,165.2
INDIGO-POJ-0238,457557.03,133936.86,453.24
INDIGO-POJ-0239,199395.66,254872.43,531.94
INDIGO-POJ-0240,113412.97,235129.17,640.02
INDIGO-POJ-0241,236832.7,173774.97,362.5
INDIGO-POJ-0242,144252.69,646805.47,725.48
INDIGO-POJ-0243,418918.15,599088.66,874.11
INDIGO-POJ-0244,191700.56,318122.1,801.87
INDIGO-POJ-0245,377579.38,32486.52,135.66
INDIGO-POJ-0246,200719.62,466485.24,532.46
INDIGO-POJ-0247,284802.32,65100.08,194.44
INDIGO-POJ-0248,161340.56,150614.45,317.84
INDIGO-POJ-0249,107244.07,797947.45,988.0
INDIGO-POJ-0250,472847.31,125920.91,228.25
INDIGO-POJ-0251,382895.45,170963.12,549.0
INDIGO-POJ-0252,330515.34,675183.74,656.34
INDIGO-POJ-0253,473746.81,412327.51,732.22
INDIGO-POJ-0254,280335.75,532122.59,603.68
INDIGO-POJ-0259,336510.17,64246.49,108.79
INDIGO-POJ-0260,121904.66,254625.92,393.82
INDIGO-POJ-0261,314958.24,368863.72,565.94
INDIGO-POJ-0262,238538.4,50713.53,179.08
INDIGO-POJ-0263,189841.93,286946.69,415.56
INDIGO-POJ-0264,156342.81,68597.8,129.88
INDIGO-POJ-0265,465938.36,66578.65,170.72
INDIGO-POJ-0266,332235.34,80616.47,457.23
INDIGO-POJ-0267,134139.87,51519.33,219.44
INDIGO-POJ-0268,300878.0,128813.46,610.79
INDIGO-POJ-0269,183962.24,194507.52,720.52
INDIGO-POJ-0270,182055.86,608498.82,820.53
INDIGO-POJ-0271,325936.45,215175.42,280.14
INDIGO-POJ-0272,410211.05,255342.42,250.73
INDIGO-POJ-0273,260305.22,150046.22,194.11
INDIGO-POJ-0274,162096.1,182003.08,672.79
INDIGO-POJ-0275,357599.82,261336.06,735.83
INDIGO-POJ-0276,110154.54,112300.36,128.43
INDIGO-POJ-0280,110838.4,607921.58,942.59
INDIGO-POJ-0281,192429.92,42538.74,146.77
INDIGO-POJ-0282,361098.44,198182.33,587.17
INDIGO-POJ-0283,139776.56,249974.88,738.15
INDIGO-POJ-0284,432087.95,615935.42,883.87
INDIGO-POJ-0285,367234.05,559510.48,742.68
INDIGO-POJ-0286,105200.77,282314.09,821.56
INDIGO-POJ-0287,183154.5,237731.66,405.51
INDIGO-POJ-0288,268569.82,418014.38,833.34
INDIGO-POJ-0289,426977.42,79516.11,172.1
INDIGO-POJ-0290,336117.98,709171.63,905.33
INDIGO-POJ-0291,349659.56,184234.87,592.83
INDIGO-POJ-0295,217786.3,525477.66,835.57
INDIGO-POJ-0299,405442.32,330443.7,507.09
INDIGO-POJ-0300,457820.89,655750.33,679.22
INDIGO-POJ-0301,270085.4,518691.42,573.76
INDIGO-POJ-0302,353391.29,173773.74,758.43
INDIGO-POJ-0304,155742.43,72670.77,173.47
INDIGO-POJ-0305,168671.71,129073.04,154.32
INDIGO-POJ-0306,107356.27,298584.42,322.39
INDIGO-POJ-0308,209622.09,130205.28,243.59
INDIGO-POJ-0309,360568.16,503447.24,884.61
INDIGO-POJ-0311,340206.74,95471.85,297.29
INDIGO-POJ-0312,170148.51,1077315.13,978.28
INDIGO-POJ-0313,307567.08,290800.31,403.21
INDIGO-POJ-0314,166513.35,266519.27,263.91
INDIGO-POJ-0315,198139.64,432253.22,810.73
INDIGO-POJ-0316,215477.49,666510.39,692.84
INDIGO-POJ-0317,326561.86,139843.77,548.38
INDIGO-POJ-0318,365468.47,317289.86,599.83
INDIGO-POJ-0319,112473.25,249545.77,747.28
INDIGO-POJ-0320,338031.17,107941.59,305.61
INDIGO-POJ-0321,233697.56,450678.66,996.7
INDIGO-POJ-0323,142639.3,327356.03,977.31
INDIGO-POJ-0324,375360.96,461098.87,685.29
INDIGO-POJ-0325,198560.81,112264.0,279.59
INDIGO-POJ-0326,208858.05,310346.85,712.21
INDIGO-POJ-0327,244389.56,55258.51,164.98
INDIGO-POJ-0328,174053.17,72150.7,127.59
INDIGO-POJ-0329,449178.33,132484.3,331.91
INDIGO-POJ-0330,376910.63,395510.38,516.36
INDIGO-POJ-0331,199867.2,455612.31,881.45
INDIGO-POJ-0332,172230.14,326311.97,754.45
INDIGO-POJ-0333,466195.32,627731.95,768.44
INDIGO-POJ-0334,469758.48,155058.98,482.94
INDIGO-POJ-0335,477706.6,99270.8,411.34
INDIGO-POJ-0336,227640.19,198239.79,433.93
INDIGO-POJ-0337,114803.05,879935.76,988.88
INDIGO-POJ-0338,130781.28,108475.88,136.1
