ID,Impact Bond Name,Stage of Development,Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Jurisdiction - Jurisdiction - (Value),Overall project finance – currency,Overall project finance – minimum,Overall project finance – exact,Overall project finance – max,Overall project finance – minimum in USD,Overall project finance – exact in USD,Overall project finance – maximum in USD,Overall Project Finance – maximum potential loss,Overall Project Finance – maximum potential return type,Overall project finance – maximum potential return,Overall project finance – investor repayment,Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),success
INDIGO-POJ-0011,Duo for a job,Implementation,2023-08-10,2023-08-10,2026-12-23,2026-12-23,2023-08-10,2026-12-23,2026-12-23,1231,1231,Australia,GBP,274414.35,343017.94,411621.53,301855.79,377319.73,452783.68,68603.59,Fixed,85754.49,365314.11,GBP,310516.99,341568.69,GBP,343017.94,377319.73,2023-08-10,0.0585,2026-12-23,0.0705,Homelessness,Employment and training,SDG 13,SDG 12,Target 8.5,Target 8.1,Women,265,229,1
INDIGO-POJ-0012,BeCode youth employment (Antwerp),Implementation,2015-03-01,2015-03-01,2019-06-18,2019-06-18,2015-03-01,2019-06-18,2019-06-18,1570,1570,United Kingdom,GBP,298954.57,373693.21,448431.85,328850.03,411062.53,493275.04,74738.64,Fixed,93423.3,394246.34,GBP,335109.39,368620.33,GBP,373693.21,411062.53,2015-03-01,0.072,2019-06-18,0.0755,Youth unemployment,Health,SDG 2,SDG 8,Target 2.1,Target 6.1,Women,885,811,1
INDIGO-POJ-0013,Back on Track,Implementation,2022-10-22,2022-10-22,2027-01-14,2027-01-14,2022-10-22,2027-01-14,2027-01-14,1545,1545,Australia,AUD,119052.24,148815.29,178578.35,130957.46,163696.82,196436.19,29763.06,Fixed,37203.82,156256.06,AUD,132817.65,146099.41,AUD,148815.29,163696.82,2022-10-22,0.0748,2027-01-14,0.0789,Youth unemployment,Housing,SDG 14,SDG 7,Target 2.1,Target 7.3,Disabled persons,678,542,1
INDIGO-POJ-0014,Cambodia Rural Sanitation Development Impact Bond,Complete,2024-06-29,2024-06-29,2026-01-16,2026-01-16,2024-06-29,2026-01-16,2026-01-16,566,566,Canada,USD,179747.54,224684.43,269621.32,197722.3,247152.87,296583.45,44936.89,Variable,56171.11,242659.18,USD,206260.31,226886.34,USD,224684.43,247152.87,2024-06-29,0.076,2026-01-16,0.0999,Youth unemployment,Employment and training,SDG 4,SDG 8,Target 4.2,Target 9.4,Women,387,366,1
INDIGO-POJ-0015,Cameroon Kangaroo Mother Care Development Impact Bond (KMC DIB),Implementation,2011-09-10,2011-09-10,2015-03-05,2015-03-05,2011-09-10,2015-03-05,2015-03-05,1272,1272,United Kingdom,CAD,254947.29,318684.11,382420.93,280442.02,350552.52,420663.03,63736.82,Fixed,79671.03,336211.74,CAD,285779.98,314357.97,CAD,318684.11,350552.52,2011-09-10,0.0592,2015-03-05,0.0679,Homelessness,Health,SDG 1,SDG 3,Target 4.2,Target 7.4,Disabled persons,610,645,1
INDIGO-POJ-0016,Cameroon Cataract Bond,Implementation,2018-10-04,2018-10-04,2021-03-30,2021-03-30,2018-10-04,2021-03-30,2021-03-30,908,908,USA,AUD,108317.6,135397.0,162476.4,119149.36,148936.7,178724.04,27079.4,Fixed,33849.25,142843.84,AUD,121417.26,133558.99,AUD,135397.0,148936.7,2018-10-04,0.0598,2021-03-30,0.0657,Mental health,Housing,SDG 16,SDG 5,Target 4.3,Target 4.1,Youth,521,557,1
INDIGO-POJ-0017,Mother Teresa Middle School,Implementation,2021-04-12,2021-04-12,2025-04-03,2025-04-03,2021-04-12,2025-04-03,2025-04-03,1452,1452,United Kingdom,GBP,94472.73,118090.92,141709.1,103920.01,129900.01,155880.01,23618.18,Fixed,29522.73,123995.46,GBP,105396.14,115935.76,GBP,118090.92,129900.01,2021-04-12,0.0663,2025-04-03,0.0589,Homelessness,Criminal justice,SDG 3,SDG 6,Target 2.5,Target 2.2,Disabled persons,783,770,0
INDIGO-POJ-0018,Community Hypertension Prevention Initiative ,Complete,2019-05-28,2019-05-28,2024-02-02,2024-02-02,2019-05-28,2024-02-02,2024-02-02,1711,1711,USA,CAD,345196.0,431495.0,517794.0,379715.6,474644.5,569573.4,86299.0,Fixed,107873.75,470329.55,CAD,399780.12,439758.13,CAD,431495.0,474644.5,2019-05-28,0.0678,2024-02-02,0.1042,Youth unemployment,Employment and training,SDG 7,SDG 11,Target 4.3,Target 7.2,Refugees,523,381,1
INDIGO-POJ-0019,Essential Skills Social Finance (ESSF) Pilot Project ,Planned,2023-12-07,2023-12-07,2028-02-02,2028-02-02,2023-12-07,2028-02-02,2028-02-02,1518,1518,United Kingdom,USD,169899.04,212373.8,254848.56,186888.95,233611.18,280333.42,42474.76,Variable,53093.45,222992.49,USD,189543.62,208497.98,USD,212373.8,233611.18,2023-12-07,0.0771,2028-02-02,0.0788,Youth unemployment,Criminal justice,SDG 7,SDG 17,Target 5.2,Target 6.1,Women,491,501,1
INDIGO-POJ-0020,Sweet Dreams SIB,Complete,2025-10-12,2025-10-12,2028-06-22,2028-06-22,2025-10-12,2028-06-22,2028-06-22,984,984,United Kingdom,CAD,103856.21,129820.26,155784.31,114241.83,142802.28,171362.74,25964.05,Fixed,32455.06,139556.78,CAD,118623.26,130485.59,CAD,129820.26,142802.28,2025-10-12,0.0993,2028-06-22,0.1224,Youth unemployment,Criminal justice,SDG 10,SDG 4,Target 3.3,Target 2.1,Women,488,384,1
INDIGO-POJ-0021,Programa Primero Lee [Read First Program] - Children literary development Impact Bond,Complete,2014-07-26,2014-07-26,2019-06-02,2019-06-02,2014-07-26,2019-06-02,2019-06-02,1772,1772,Canada,EUR,327118.33,408897.91,490677.49,359830.16,449787.7,539745.24,81779.58,Fixed,102224.48,443654.23,EUR,377106.1,414816.7,EUR,408897.91,449787.7,2014-07-26,0.0599,2019-06-02,0.1001,Homelessness,Employment and training,SDG 2,SDG 3,Target 7.3,Target 1.1,Refugees,852,835,1
INDIGO-POJ-0022,Cali Progresses with Employment,Complete,2022-05-17,2022-05-17,2027-05-01,2027-05-01,2022-05-17,2027-05-01,2027-05-01,1810,1810,United Kingdom,AUD,326806.51,408508.14,490209.77,359487.16,449358.95,539230.74,81701.63,Variable,102127.03,441188.79,AUD,375010.47,412511.52,AUD,408508.14,449358.95,2022-05-17,0.0537,2027-05-01,0.0884,Youth unemployment,Health,SDG 3,SDG 5,Target 9.1,Target 6.5,Women,330,370,1
INDIGO-POJ-0023,Colombia Workforce Development SIB: Empleando Futuro,Implementation,2010-11-23,2010-11-23,2013-11-24,2013-11-24,2010-11-23,2013-11-24,2013-11-24,1097,1097,Australia,GBP,194709.03,243386.29,292063.55,214179.94,267724.92,321269.9,48677.26,Variable,60846.57,256772.54,GBP,218256.66,240082.32,GBP,243386.29,267724.92,2010-11-23,0.0558,2013-11-24,0.0624,Youth unemployment,Health,SDG 12,SDG 14,Target 10.2,Target 4.2,Women,225,230,1
INDIGO-POJ-0024,Kotouttamisen SIB (Integration Project),Complete,2019-03-27,2019-03-27,2023-12-27,2023-12-27,2019-03-27,2023-12-27,2023-12-27,1736,1736,USA,GBP,185887.37,232359.21,278831.05,204476.1,255595.13,306714.16,46471.84,Fixed,58089.8,248624.35,GBP,211330.7,232463.77,GBP,232359.21,255595.13,2019-03-27,0.0532,2023-12-27,0.0781,Youth unemployment,Education,SDG 4,SDG 13,Target 1.4,Target 4.2,Disabled persons,512,504,1
INDIGO-POJ-0025,"Epiqus Työhyvinvointi I (""Tyhy-SIB"") (Epiqus Occupational Wellbeing)",Planned,2014-05-02,2014-05-02,2017-07-26,2017-07-26,2014-05-02,2017-07-26,2017-07-26,1181,1181,USA,EUR,179514.34,224392.93,269271.51,197465.78,246832.22,296198.67,44878.59,Variable,56098.23,236734.54,EUR,201224.36,221346.79,EUR,224392.93,246832.22,2014-05-02,0.0663,2017-07-26,0.0753,Homelessness,Health,SDG 9,SDG 12,Target 9.4,Target 9.3,Youth,467,472,1
INDIGO-POJ-0026,Article 1 CIS,Planned,2023-05-20,2023-05-20,2026-10-25,2026-10-25,2023-05-20,2026-10-25,2026-10-25,1254,1254,USA,EUR,363908.08,454885.1,545862.12,400298.89,500373.61,600448.33,90977.02,Fixed,113721.27,484452.63,EUR,411784.73,452963.21,EUR,454885.1,500373.61,2023-05-20,0.0736,2026-10-25,0.0954,Mental health,Housing,SDG 17,SDG 4,Target 7.5,Target 4.3,Youth,646,696,1
INDIGO-POJ-0027,La Cravate Solidaire CIS,Implementation,2011-07-28,2011-07-28,2016-04-17,2016-04-17,2011-07-28,2016-04-17,2016-04-17,1725,1725,USA,EUR,118270.16,147837.7,177405.24,130097.17,162621.47,195145.76,29567.54,Variable,36959.42,155229.58,EUR,131945.15,145139.66,EUR,147837.7,162621.47,2011-07-28,0.0857,2016-04-17,0.0875,Mental health,Health,SDG 10,SDG 17,Target 5.4,Target 6.4,Refugees,330,331,1
INDIGO-POJ-0028,Wimoov CIS,Complete,2018-07-03,2018-07-03,2023-04-20,2023-04-20,2018-07-03,2023-04-20,2023-04-20,1752,1752,USA,GBP,326709.5,408386.87,490064.25,359380.45,449225.56,539070.67,81677.37,Fixed,102096.72,441057.82,GBP,374899.15,412389.06,GBP,408386.87,449225.56,2018-07-03,0.0747,2023-04-20,0.1124,Youth unemployment,Housing,SDG 1,SDG 10,Target 5.2,Target 7.5,Refugees,652,589,1
INDIGO-POJ-0029,Apprentis d'Auteuil - Loire Atlantique (France),Implementation,2013-10-22,2013-10-22,2018-07-02,2018-07-02,2013-10-22,2018-07-02,2018-07-02,1714,1714,USA,USD,247274.51,309093.13,370911.76,272001.96,340002.44,408002.93,61818.63,Variable,77273.28,324547.79,USD,275865.62,303452.18,USD,309093.13,340002.44,2013-10-22,0.0714,2018-07-02,0.0718,Homelessness,Criminal justice,SDG 11,SDG 3,Target 4.3,Target 4.2,Women,247,235,1
INDIGO-POJ-0030,IMPACT Académie CIS (France),Complete,2011-08-20,2011-08-20,2015-03-09,2015-03-09,2011-08-20,2015-03-09,2015-03-09,1297,1297,Australia,AUD,180593.91,225742.39,270890.87,198653.31,248316.63,297979.96,45148.48,Variable,56435.6,242673.07,AUD,206272.11,226899.32,AUD,225742.39,248316.63,2011-08-20,0.0754,2015-03-09,0.0989,Homelessness,Housing,SDG 16,SDG 13,Target 4.2,Target 1.1,Disabled persons,380,252,1
INDIGO-POJ-0031,L'Association pour le Droit à l'Initiative Economique (Association for the Right to the Economic Initiative) ADIE,Planned,2015-08-04,2015-08-04,2017-04-08,2017-04-08,2015-08-04,2017-04-08,2017-04-08,613,613,Australia,AUD,370421.27,463026.59,555631.91,407463.4,509329.25,611195.1,92605.32,Variable,115756.65,488493.05,AUD,415219.09,456741.0,AUD,463026.59,509329.25,2015-08-04,0.0625,2017-04-08,0.0749,Homelessness,Housing,SDG 17,SDG 11,Target 8.5,Target 9.4,Disabled persons,961,890,1
INDIGO-POJ-0032,Integrativer Schulcampus Pestallozischule (The Integrative Campus Pestalozzi School) ,Implementation,2015-07-19,2015-07-19,2020-02-13,2020-02-13,2015-07-19,2020-02-13,2020-02-13,1670,1670,Canada,EUR,153215.41,191519.27,229823.12,168536.95,210671.19,252805.43,38303.85,Fixed,47879.82,200137.63,EUR,170116.99,187128.69,EUR,191519.27,210671.19,2015-07-19,0.0538,2020-02-13,0.0463,Youth unemployment,Education,SDG 9,SDG 15,Target 2.3,Target 4.3,Refugees,753,783,0
INDIGO-POJ-0033,JuMP - Jugendliche mit Perspektive (Youth with perspective) ,Planned,2018-08-04,2018-08-04,2023-06-25,2023-06-25,2018-08-04,2023-06-25,2023-06-25,1786,1786,Australia,GBP,172720.46,215900.58,259080.7,189992.51,237490.64,284988.77,43180.12,Fixed,53975.15,226695.61,GBP,192691.27,211960.4,GBP,215900.58,237490.64,2018-08-04,0.0581,2023-06-25,0.0626,Homelessness,Health,SDG 14,SDG 14,Target 6.5,Target 8.4,Youth,630,581,1
INDIGO-POJ-0034,Prävention in Hilfen zur Erziehung (Prevention in Family Assistance) ,Complete,2022-11-30,2022-11-30,2026-01-17,2026-01-17,2022-11-30,2026-01-17,2026-01-17,1144,1144,United Kingdom,AUD,337175.06,421468.83,505762.6,370892.57,463615.71,556338.86,84293.77,Variable,105367.21,461508.37,AUD,392282.11,431510.33,AUD,421468.83,463615.71,2022-11-30,0.0593,2026-01-17,0.106,Youth unemployment,Employment and training,SDG 10,SDG 13,Target 7.5,Target 9.5,Women,424,405,1
INDIGO-POJ-0035,Educate Girls ,Implementation,2018-09-21,2018-09-21,2021-08-09,2021-08-09,2018-09-21,2021-08-09,2021-08-09,1053,1053,Australia,AUD,365618.88,457023.6,548428.32,402180.77,502725.96,603271.15,91404.72,Variable,114255.9,486730.13,AUD,413720.61,455092.67,AUD,457023.6,502725.96,2018-09-21,0.077,2021-08-09,0.0885,Mental health,Housing,SDG 5,SDG 1,Target 7.5,Target 10.1,Youth,638,654,1
INDIGO-POJ-0036,Quality Education India Development Impact Bond ,Planned,2015-11-02,2015-11-02,2018-12-17,2018-12-17,2015-11-02,2018-12-17,2018-12-17,1141,1141,Australia,EUR,152939.25,191174.07,229408.88,168233.18,210291.47,252349.77,38234.81,Fixed,47793.52,201688.64,EUR,171435.34,188578.88,EUR,191174.07,210291.47,2015-11-02,0.0714,2018-12-17,0.0747,Youth unemployment,Housing,SDG 11,SDG 11,Target 7.3,Target 7.3,Youth,219,78,1
INDIGO-POJ-0037,The Utkrisht Impact Bond ,Complete,2017-11-06,2017-11-06,2020-02-08,2020-02-08,2017-11-06,2020-02-08,2020-02-08,824,824,United Kingdom,USD,341764.73,427205.91,512647.09,375941.2,469926.5,563911.8,85441.18,Fixed,106801.48,461382.38,USD,392175.02,431392.52,USD,427205.91,469926.5,2017-11-06,0.093,2020-02-08,0.1231,Youth unemployment,Health,SDG 8,SDG 7,Target 1.5,Target 3.2,Women,885,906,1
INDIGO-POJ-0038,Preventing Type 2 Diabetes,Implementation,2015-10-01,2015-10-01,2018-10-25,2018-10-25,2015-10-01,2018-10-25,2018-10-25,1120,1120,United Kingdom,GBP,213571.52,266964.4,320357.28,234928.67,293660.84,352393.01,53392.88,Fixed,66741.1,280312.62,GBP,238265.73,262092.3,GBP,266964.4,293660.84,2015-10-01,0.0611,2018-10-25,0.0599,Youth unemployment,Education,SDG 10,SDG 4,Target 10.1,Target 5.5,Disabled persons,932,932,0
INDIGO-POJ-0039,Aluma SIB,Implementation,2024-01-26,2024-01-26,2026-06-06,2026-06-06,2024-01-26,2026-06-06,2026-06-06,862,862,USA,USD,118356.92,147946.15,177535.38,130192.61,162740.76,195288.91,29589.23,Fixed,36986.54,155343.45,USD,132041.94,145246.13,USD,147946.15,162740.76,2024-01-26,0.0669,2026-06-06,0.0661,Mental health,Criminal justice,SDG 4,SDG 2,Target 6.5,Target 7.3,Youth,863,826,0
INDIGO-POJ-0040,Hachioji City SIB on Increasing the Rate of Residents Receiving Bowel Cancer Screenings,Complete,2020-12-29,2020-12-29,2022-08-02,2022-08-02,2020-12-29,2022-08-02,2022-08-02,581,581,USA,AUD,246013.0,307516.25,369019.5,270614.3,338267.87,405921.45,61503.25,Variable,76879.06,329042.39,AUD,279686.03,307654.63,AUD,307516.25,338267.87,2020-12-29,0.0852,2022-08-02,0.1072,Youth unemployment,Housing,SDG 5,SDG 14,Target 3.5,Target 5.5,Disabled persons,646,509,1
INDIGO-POJ-0041,Colorectal Cancer screening in Hiroshima Prefecture,Implementation,2015-07-05,2015-07-05,2016-12-28,2016-12-28,2015-07-05,2016-12-28,2016-12-28,542,542,Canada,EUR,196361.47,245451.84,294542.21,215997.62,269997.03,323996.43,49090.37,Variable,61362.96,257724.43,EUR,219065.77,240972.34,EUR,245451.84,269997.03,2015-07-05,0.0986,2016-12-28,0.089,Youth unemployment,Education,SDG 15,SDG 13,Target 6.1,Target 8.3,Women,417,377,0
INDIGO-POJ-0042,Kobe City SIB for Preventing Severe Diabetic Nephropathy,Implementation,2023-05-16,2023-05-16,2028-04-20,2028-04-20,2023-05-16,2028-04-20,2028-04-20,1801,1801,United Kingdom,EUR,171148.96,213936.2,256723.44,188263.85,235329.82,282395.78,42787.24,Variable,53484.05,224633.01,EUR,190938.06,210031.86,EUR,213936.2,235329.82,2023-05-16,0.0518,2028-04-20,0.0517,Mental health,Criminal justice,SDG 7,SDG 3,Target 4.4,Target 8.5,Women,687,572,0
INDIGO-POJ-0043,Village Enterprise Development Impact Bond,Implementation,2010-05-22,2010-05-22,2011-11-28,2011-11-28,2010-05-22,2011-11-28,2011-11-28,555,555,Australia,EUR,275060.59,343825.73,412590.88,302566.65,378208.31,453849.97,68765.15,Variable,85956.43,359297.89,EUR,305403.21,335943.53,EUR,343825.73,378208.31,2010-05-22,0.0751,2011-11-28,0.0692,Youth unemployment,Housing,SDG 8,SDG 10,Target 10.3,Target 8.5,Refugees,963,873,0
INDIGO-POJ-0044,Buzinezzclub (Eindhoven),Implementation,2020-03-06,2020-03-06,2022-09-11,2022-09-11,2020-03-06,2022-09-11,2022-09-11,919,919,USA,EUR,126366.36,157957.95,189549.54,139002.99,173753.74,208504.49,31591.59,Variable,39489.49,165855.85,EUR,140977.47,155075.22,EUR,157957.95,173753.74,2020-03-06,0.0745,2022-09-11,0.076,Homelessness,Education,SDG 4,SDG 7,Target 6.1,Target 9.2,Women,956,883,1
INDIGO-POJ-0045,Buzinezzclub (Rotterdam),Complete,2021-10-07,2021-10-07,2026-02-10,2026-02-10,2021-10-07,2026-02-10,2026-02-10,1587,1587,United Kingdom,EUR,395408.15,494260.18,593112.22,434948.96,543686.2,652423.44,98852.04,Variable,123565.05,533801.0,EUR,453730.85,499103.93,EUR,494260.18,543686.2,2021-10-07,0.0621,2026-02-10,0.0978,Youth unemployment,Education,SDG 10,SDG 8,Target 6.2,Target 5.1,Women,246,283,1
INDIGO-POJ-0046,Buzinezzclub (Utrecht),Complete,2012-10-31,2012-10-31,2017-05-29,2017-05-29,2012-10-31,2017-05-29,2017-05-29,1671,1671,United Kingdom,AUD,156044.01,195055.02,234066.02,171648.42,214560.52,257472.62,39011.0,Fixed,48763.75,208708.87,AUD,177402.54,195142.79,AUD,195055.02,214560.52,2012-10-31,0.0864,2017-05-29,0.1102,Youth unemployment,Health,SDG 10,SDG 16,Target 8.4,Target 6.2,Youth,689,710,1
INDIGO-POJ-0047,Cancer and Work Health Impact Bond,Implementation,2011-08-30,2011-08-30,2015-11-23,2015-11-23,2011-08-30,2015-11-23,2015-11-23,1546,1546,Australia,USD,197690.6,247113.25,296535.9,217459.66,271824.58,326189.49,49422.65,Variable,61778.31,259468.92,USD,220548.58,242603.44,USD,247113.25,271824.58,2011-08-30,0.0816,2015-11-23,0.0845,Mental health,Education,SDG 10,SDG 3,Target 4.1,Target 9.4,Women,589,524,1
INDIGO-POJ-0048,The Colour Kitchen,Implementation,2023-03-15,2023-03-15,2026-08-09,2026-08-09,2023-03-15,2026-08-09,2026-08-09,1243,1243,United Kingdom,EUR,108892.73,136115.91,163339.09,119782.0,149727.5,179673.0,27223.18,Fixed,34028.98,142921.7,EUR,121483.45,133631.79,EUR,136115.91,149727.5,2023-03-15,0.0918,2026-08-09,0.1027,Homelessness,Criminal justice,SDG 4,SDG 7,Target 4.3,Target 2.2,Women,765,796,1
INDIGO-POJ-0049,Positive Health / Rendiz ,Planned,2020-02-08,2020-02-08,2024-12-19,2024-12-19,2020-02-08,2024-12-19,2024-12-19,1776,1776,Canada,CAD,182649.62,228312.03,273974.43,200914.58,251143.23,301371.87,45662.41,Fixed,57078.01,240869.19,CAD,204738.81,225212.69,CAD,228312.03,251143.23,2020-02-08,0.0593,2024-12-19,0.0648,Youth unemployment,Employment and training,SDG 2,SDG 8,Target 5.3,Target 8.1,Women,840,740,1
