Project ID,Id,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Unit description of Service user or beneficiaries - (Value),Outcome metric target - (Value),Other target for Meeting outcome metric target - (Value),Outcome validation Method - (Value),Data source for Outcome validation - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value),Sources,Notes
INDIGO-POJ-0010,outcomemetric1,"Sustained employment. Placement in employment which is  subject to social insurance contributions, pays a living wage for at least 20 hours per week and over 12 months (last 6 months continous employment) during the term of the project. ",,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0010,outcomemetric2,"Sustained employment. Prevention of employment loss or placement into employment which is  subject to social insurance contributions, pays a living wage for at least 20 hours per week and over 12 months (last 6 months continous employment) during the term of the project. ",,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0011,outcomemetric1,"Increase in employment rate. Employment rate for participants in the Duo for job programme is higher than the control group. Scale of improvement determines payment: investors receive back principal when 10% increase relative to control is achieved, with an additional bonus for outcomes above this level. Employment rate for participant and control groups. ",,180,,,,,,,,8,,8.6,,,
INDIGO-POJ-0012,outcomemetric1,"Employment outcomes. If 10% more young people find work compared to a comparable group, VDAB, in partnership with PIO, repays the amount with interest.",,,,,,,,,,8,,8.6,8.5,,
INDIGO-POJ-0013,outcomemetric1,85% of young adults obtain a renting agreement,,133,,,,,,,,,,,,,
INDIGO-POJ-0013,outcomemetric2,40% of young adults have a legal income or start a training,,,,,,,,,,,,,,,
INDIGO-POJ-0013,outcomemetric3,25% reduction in recidivism compared to a reference rate,,,,,,,,,,,,,,,
INDIGO-POJ-0014,outcomemetric1,1600 villages to achieve Open Defecation Free (ODF) status. Completion of the government process to get certified and iDE’s metrics.,,1600,Other,villages,,,,,,6,,6.2,,,
INDIGO-POJ-0015,outcomemetric1,"Increase in access to quality KMC (Kangaroo Mother Care): extended skin-to-skin care, exclusive breastfeeding and early discharge.",,2200,,,,,,,,3,,3.8,3.2,,
INDIGO-POJ-0015,outcomemetric2,Improvements in weight gain for LBW (low birth weight) or premature newborns.,,,,,,,,,,3,,3.2,,,
INDIGO-POJ-0016,outcomemetric1,Number of cataract surgeries. Record of number of cataract surgeries provided.,,18000,,,,,,,,3,,3.4,3.8,,
INDIGO-POJ-0016,outcomemetric2,Quality of the surgeries. At least 50% of surgeries achieve a ‘good’ outcome according to WHO guidelines for visual acuity of cataracts patients post-surgery.,,,,,,,,,,3,,3.4,3.8,,
INDIGO-POJ-0016,outcomemetric3,Financial sustainability. Assessed only in year 5 using the normalized EBITDA ratio.,,,,,,,,,,3,,3.c,3.8,,
INDIGO-POJ-0016,outcomemetric4,Performance bonus: Equity target. At least 40% of surgeries provided to individuals belonging to the bottom two wealth quintiles of the population in Cameroon by the end of year 5.,,,,,,,,,,3,1,3.8,1.4,,
INDIGO-POJ-0017,outcomemetric1,Increase in high school graduation rates. School achieves 82% Grade-12 graduation rates (minimum 75% threshold).,,88,,,,,,,Education,4,10,4.1,10.2,,
INDIGO-POJ-0018,outcomemetric1,Program intake. The number of people who submit blood pressure readings and sign up for the program.,,7000,,,,,,,,3,,3.4,,,
INDIGO-POJ-0018,outcomemetric2,Halt blood pressure increase. The average change in blood pressure across all participants after six months.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0019,outcomemetric1,"Gain in skills after training. Number of participants who achieved 25-point skill gain in literacy, numeracy, and computer skills at the end of training.",,91,,,,,,,,4,,4.6,4.4,,
INDIGO-POJ-0019,outcomemetric2,"Gain in skills 1 year after training. Number of participants who achieved 25-point skill gain in literacy, numeracy, and computer skills 12 months after training.",,,,,,,,,,4,,4.6,4.4,,
INDIGO-POJ-0020,outcomemetric1,Family stability. Number of children and mothers who left the supported accomodation and stayed together as family units for at least six months without entering into care. Service provider data.,,22,Individual,,,,,,,16,,16.2,,,11 adults and 11-15 children at any one time.
INDIGO-POJ-0021,outcomemetric1,Teacher Fidelity Standard Test. Number of teachers that achieve at least a predetermined level in the Teacher Fidelity Standard Test.,,,,,,,,,,4,,4.c,,,
INDIGO-POJ-0021,outcomemetric2,Headmaster Profile Test. Number of headmasters that achieve at least a predetermined level in the Headmaster Profile Test.,,,,,,,,,,4,,4.c,,,
INDIGO-POJ-0021,outcomemetric3,"CL-PT Test results. Number of children that achieve a level of at least ""in development"" in the CL-TP Test.",,,,,,,,,,4,,4.6,4.1,,
INDIGO-POJ-0021,outcomemetric4,Reading Command Test results. Number of children that achieve a predetermined level in the Reading Command Test.,,,,,,,,,,4,,4.6,4.1,,
INDIGO-POJ-0021,outcomemetric5,"Outstanding result: CL-PT Test results. Number of children that achieve a level of at least ""emerging"" in the CL-TP Test.",,,,,,,,,,4,,4.6,4.1,,
INDIGO-POJ-0021,outcomemetric6,"Outstanding result: CL-PT Test results. Number of children that achieve a level of at least ""developed"" in the CL-TP Test.",,,,,,,,,,4,,4.6,4.1,,
INDIGO-POJ-0022,outcomemetric1,Formal employment,,856,,,,,,,,8,,8.3,,,
INDIGO-POJ-0022,outcomemetric2,3 month retention,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0022,outcomemetric3,6 month retention,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric1,Formal job placement (Phase A). Job placement of beneficiaries between March 2017 and July 2018.,,766,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric2,3-month retention (Phase A). 3-month job retention for the beneficiaries between March 2017 and July 2018.,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric3,6-month retention (Phase A). 6-month job retention for the beneficiaries between March 2017 and July 2018  (bonus payments from the IDB with SECO resources).,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric4,Formal job placement (Phase B). Job placement of beneficiaries between July and December 2018.,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric5,3-month retention (Phase B). 3-month job retention for the beneficiaries between July and December 2018.,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0023,outcomemetric6,6-month retention (Phase B). 6-month job retention for the beneficiaries between July and December 2018 (bonus payments from IDB with SECO resources).,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0024,outcomemetric1,Increased tax collections,,,,,,,,,,8,,8.3,8.8,,
INDIGO-POJ-0024,outcomemetric2,Reduced employment benefits,,,,,,,,,,8,,8.3,8.8,,
INDIGO-POJ-0025,outcomemetric1,Reduction in number of sick leave days per employee per year,,1300,,,,,,,,3,,3.d,,,
INDIGO-POJ-0026,outcomemetric1,Workshops deployment indicator. Number of workshops on personal development and career guidance workshops.,,1130,,,,,,,,4,4,4.4,4.3,,
INDIGO-POJ-0026,outcomemetric2,School perseverance indicator. Increase in the percentage of high school students who express interest in pursuing a university education relative to national average for each discipline by 7 percentage points. National reference rate calculated each year.,,,,,,,,,,4,8,4.3,8.6,,
INDIGO-POJ-0026,outcomemetric3,Number of mentors. Number of mentors trained and deployed through the program.,,,,,,,,,,4,,4.c,,,
INDIGO-POJ-0026,outcomemetric4,Exam attendance indicator. Increase in the percentage of high school students who show up to their final exams (in view of obtaining the Brevet de Technicien Supérieur Agricole) relative to national average for each discipline by 5 percentage points. National reference rate calculated each year.,,,,,,,,,,4,8,4.3,8.6,,
INDIGO-POJ-0027,outcomemetric1,Beneficiaries served. Number of beneficiaries served by the program. ,,900,,,,,,,,8,,8.3,8.6,,
INDIGO-POJ-0027,outcomemetric2,Volunteers sensitised to discrimination questions. Number of volunteers trained and sensitized to issues related to employment discrimination.  ,,,,,,,,,,8,,8.3,8.6,,
INDIGO-POJ-0027,outcomemetric3,Successful transition to employment. Increase in number of succesful transitions to employment supported by insertion partners relative to average across comparable populations. Average across comparable populations.,,,,,,,,,,8,,8.3,8.6,,
INDIGO-POJ-0028,outcomemetric1,"Mobility test administration. Number of people who have benefited from a ""mobility test"" in 2018. ",,10000,,,,,,,,8,,8.3,,,
INDIGO-POJ-0028,outcomemetric2,"Successful enrolment in personalized job search assistance program. Percentage of ""mobility tests"" resulting in a succesful enrolment in the provider's personalized job search assistance program. At least 80% of ""mobility tests"" carried out in 2018 should result in an entry into support to trigger the outcomes paymet.",,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0028,outcomemetric3,"Mobility test administered by partner entities. Percentage of ""mobility tests"" administered directly by the partner organizations who are responsible for referral of beneficiaries to provider. At least 17% of ""mobility tests"" should be administered directly by a sample of support structures to employment.",,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0029,outcomemetric1,Support families in the shelters.,,68,Other,families,,,,Existing administrative data,,4,,4.1,4.2,,
INDIGO-POJ-0029,outcomemetric2,"Prevent placement of children in foster care.
",,68,Other,families,,,,Existing administrative data,,4,,4.1,4.2,,
INDIGO-POJ-0030,outcomemetric1,Creation of viable businesses. Number of viable businesses created. ,,1000,,,,,,,,8,,8.3,,,
INDIGO-POJ-0030,outcomemetric2,Creation of jobs. Number of jobs created within QPVs.,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0030,outcomemetric3,Completion of training. Number of completed training qualifications (CNAM and FFF).,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0031,outcomemetric1,"Increase in stable employment. Increase number of participants who transition from unstable to stable employment, either through the creation of personal business ventures or regular employment.",,320,,,,,,,,8,,8.3,8.1,,
INDIGO-POJ-0032,outcomemetric1,Recommendation rate for a Gymnasium (selective secondary school). Increased number of recommendations for entry to Gymnasium schools for children with a migrant background. Recommendations issued for Gymanasium schools. Results of the standarised test at the end of year four.  ,,,,,,,,,Education,4,10,4.1,10.2,,
INDIGO-POJ-0032,outcomemetric2,Improved cognitive skills. Improved cognitive skills of children with a migrant background after 1 year of intervention. The performance of previous class years will act as a counterfactual.,,,,,,,,,Education,4,10,4.1,10.2,,
INDIGO-POJ-0033,outcomemetric1,Sustained Employment. Entry into training or employment sustained over a 9 months period in the Augsburg region. Employment or training must be sustained at the same employer over a continous period of 6 months. ,,,,,,,,,,8,,8.3,,,
INDIGO-POJ-0034,outcomemetric1,"Improved parenting skills. The family's wellbeing has improved and further participation in the family assistance programme is not required. Family completes standardised questionnaires (Strengths and difficulties questionnaire, SDQ; Questionnaire on parenting, EFB; Questionnaire on how satisfied families were with the Triple P programme, CSQ); service provider data.",,48,,,,,,,,3,,,,,
INDIGO-POJ-0035,outcomemetric1,Outcome 1: Learning Gains. Aggregate learning gains for all students in grades 3-5 as measured by ASER test scores relative to control group.,,9041,Individual,Children,"+ 5,592 ASER learning levels above control group gains",,Clustered (village-level) randomized controlled trial,,Education,4,4,4.1,4.5,,
INDIGO-POJ-0035,outcomemetric2,Outcome 2: Enrollment. Student enrolment defined by the of out-of-school girls (between age 7 and 14) enrolled in school by the end of the third year.,,662,Individual,Girls,79% of all eligible out-of-school girls,,Pre-post comparison,,Education,4,4,4.1,4.5,,
INDIGO-POJ-0036,outcomemetric1,Learning outcome improvement 1. Learning outcome improvement: standard deviation (standard points of variation around the mean) as a difference from the comparison group performance. (Directly operating in classrooms),,,,,,,,,,4,4,4.1,4.5,,
INDIGO-POJ-0036,outcomemetric2,Learning outcome improvement 2. Learning outcome improvement: standard deviation (standard points of variation around the mean) as a difference from the comparison group performance. (Remedial programmes),,,,,,,,,,4,4,4.1,4.5,,
INDIGO-POJ-0036,outcomemetric3,Learning outcome improvement 3. Learning outcome improvement: standard deviation (standard points of variation around the mean) as a difference from the comparison group performance. (teacher/principal training),,,,,,,,,,4,4,4.1,4.5,,
INDIGO-POJ-0037,outcomemetric1,Improved quality of care provision. More than or equal to 30% of points met in all 10 chapters of NABH standards AND More than or equal to 40% of FOGSI standards are 100% met. Pre-post reporting and evaluation.,,10000,Individual,,,,,,,3,,3.1,3.2,,"360-444 (private facilities), up to 10,000 service users (based on LiST calculation)"
INDIGO-POJ-0037,outcomemetric2,Reaching JQS level of care provision. More than or equal to 50% of points met in all 10 chapters of NABH standards AND More than or equal to 70% of FOGSI standards are 100% met. Pre-post reporting and evaluation.,,,,,,,,,,3,,3.1,3.2,,
INDIGO-POJ-0038,outcomemetric1,"Reduction in Type 2 diabetes cases. The proportion of the cohort that are prevented from developing Type 2 diabetes, as determined by periodic blood glucose tests.",,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0039,outcomemetric1,"Project achieves a student dropout prevention rate that leads to savings for the academic institution of up to NIS 8,000,000 (repaid amount is equal to the amount saved). Historical baseline.",,600,,,,,,,Education,4,10,4.3,4.4,,
INDIGO-POJ-0039,outcomemetric2,"Project achieves a student dropout prevention rate that leads to savings for the academic institution of over NIS 8,000,000 (amount repaid corresponds to the amount saved over NIS 8,000,000, with a cap of SEK 800,000 [10% yield cap]). Historical baseline. ",,,,,,,,,Education,4,10,4.3,4.4,,
INDIGO-POJ-0040,outcomemetric1,Cancer screenings. Increase in the rate of residents screened. ,,12000,,,,,,,,3,,3.4,,,
INDIGO-POJ-0040,outcomemetric2,Precision examinations. Increase in the rate of residents who underwent precision examinations. ,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0040,outcomemetric3,Detection of early cancer. Increase in the number of people detected with early cancer.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0041,outcomemetric1,Colorectal cancer screening participants. Increase in number of colorectal cancer screening participants.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0041,outcomemetric2,Precision inspection consultation rate. Increase in precision inspection consultation rate.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0042,outcomemetric1,Program completion. Rate of program completion.,,100,,,,,,,,3,,3.4,,,
INDIGO-POJ-0042,outcomemetric2,Lifestyle improvements. Rate of lifestyle improvement.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0042,outcomemetric3,Reduction of kidney function deterioration. Rate at which kidney function deterioration was reduced.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0043,outcomemetric1,"Present value of the household increase in consumption compared to the control group. The present value is calculated based on the increase in monthly consumption per household compared to the control group. Consumption is defined as the sum of household food and beverage consumption, household recurring consumption, and household infrequent consumption.",,13830,Other,households,,,,,,1,,1.1,,,"13,830 households, 7 cohorts (estimate)"
INDIGO-POJ-0043,outcomemetric2,"Present value of the household increase in net assets compared to the control group The present value is calculated based on the household increase in net assets stock compared to the control group. Net assets are defined as net household assets (i.e. household savings and tangible household assets, net of household liabilities) plus net business assets (i.e. business savings and tangible business assets, net of business liabilities), accounting for business ownership by the household. No distinction between productive and non-productive assets is drawn; business assets are collected separately because VE specifically promotes the creation of multi-member businesses. ",,,,,,,,,,1,,1.1,,,
INDIGO-POJ-0044,outcomemetric1,Participant is employed or in training (i.e. off unemployment benefits). Expected number of benefit days saved from moving people into employment or training.,,400,,,,,,,,8,,8.5,,,
INDIGO-POJ-0045,outcomemetric1,Participant is employed or in training (i.e. off unemployment benefits). Expected number of benefit days saved from moving people into employment or training.,,160,,,,,,,,8,,8.5,,,
INDIGO-POJ-0046,outcomemetric1,Participant is employed or in training (i.e. off unemployment benefits). Expected number of benefit days saved from moving people into employment or training.,,540,,,,,,,,8,,8.5,,,
INDIGO-POJ-0047,outcomemetric1,Return to work. The project will evaluate its success based on whether participants have returned to work.,,138,,,,,,,,3,,3.4,,,
INDIGO-POJ-0048,outcomemetric1,Education. The number of people that achieve a diploma at the Dutch level of MBO 2 (target 70%).,,252,,,,,,,,4,,4.4,,,
INDIGO-POJ-0048,outcomemetric2,Employment (Short Term). The number of people that find a job of at least six months duration for 24 hours a week or more (target 50%).,,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0048,outcomemetric3,Employment (Longer Term). The number of people that secure a long term contract after this initial six months (26%).,,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0049,outcomemetric1,Employment. Guiding people who are at a distance from the labor market to work.,,50,,,,,,,,8,,8.5,,,
INDIGO-POJ-0050,outcomemetric1,"Employment. If participants are employed for at least two years, the investors receive the money of six years of benefit assistance. ",,70,,,,,,,,8,,8.5,,,
INDIGO-POJ-0051,outcomemetric1,Savings to insurance. ,,250,,,,,,,,3,,3.8,,,
INDIGO-POJ-0052,outcomemetric1,Reduce recidivism of the participants by 10%.,,150,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0052,outcomemetric2,Decrease social benefits issued to participants by 25-30%.,,,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0052,outcomemetric3,Increase the labour participation of participants by 882 months in comparison to a control group.,,,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0053,outcomemetric1,"Reduction in unemployment benefit entitlement. Success is measured by the reduction in number of days of unemployment social assistance that participants are entitled to, relative to a control group.",,138,,,,,,,,8,,8.5,,,
INDIGO-POJ-0054,outcomemetric1,Reduction in benefit days.,,750,,,,,,,,8,,8.5,,,
INDIGO-POJ-0055,outcomemetric1,Reduced recidivism among Māori prisioner population. Reduced recidivism among the Māori prisioner population is at least 10% higher than in other prisons in New Zealand.,,960,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0055,outcomemetric2,"Maintain prison safety. Ensure sentence compliance in a secure, safe, positive environment.",,,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0055,outcomemetric3,Achieve reintegration and social outcomes for Māori prisoners.,,,,,,,,,,16,8,16.7,8.3,,
INDIGO-POJ-0056,outcomemetric1,Work placement rate.,,1700,,,,,,,,8,3,8.5,,,
INDIGO-POJ-0057,outcomemetric1,Opening of new physical rehabilitation centres. Three physical rehabilitation centres open for operation by July 2020. Service provider data.,,3600,,,,,,,,3,,3.4,,,
INDIGO-POJ-0057,outcomemetric2,Staff efficiency ratio. Number of patients (re)gaining mobility following the fitting of a mobility device divided by the number of staff working in the rehabilitation center compared to baseline average from sample of comparable existing centres in 2nd year of operations. Service provider data.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0058,outcomemetric1,Participant intake (output). Service provider enrols youth in DIB-funded training programme. Administrative data.,,1500,,,,,,,,8,,8.5,,,
INDIGO-POJ-0058,outcomemetric2,Training start (output). Enrolled youth attends introductory training session. Administrative data.,,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0058,outcomemetric3,Training completion (output). Enrolled youth successfully completes training modules. Administrative data. ,,,,,,,,,,4,,4.4,,,
INDIGO-POJ-0058,outcomemetric4,"Employment placement. Youth begins paid employment. Employment contract, pay slips, timesheets, employer letter.",,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0058,outcomemetric5,"Employment sustainment for 3 months. Youth maintains employment for 3 months. Employment contract, pay slips, timesheets, employer letter.",,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0058,outcomemetric6,"Employment sustainment for 6 months. Youth maintains employment for 6 months. Employment contract, pay slips, timesheets, employer letter.",,,,,,,,,,8,,8.5,,,
INDIGO-POJ-0059,outcomemetric1,60% increased supply to Kemito Ene by its members by 20%. Purchase records of the Kemito Ene specifying the amounts bought each year from each Kemito Ene member.,,133,,,,,,,,2,,2.3,2.4,,
INDIGO-POJ-0059,outcomemetric2,At least 60% improved cocoa yield by Kemito Ene members to 600 kg/hectare (ha) or more. Productivity figures for each farmer for each cocoa harvest reported by the project’s field staff.,,,,,,,,,,2,,2.3,2.4,,
INDIGO-POJ-0059,outcomemetric3,At least 35 tons of cocoa bought and sold by Kemito Ene. Sales data of the Kemito Ene specifying for each year the amounts sold to its buyers.,,,,,,,,,,2,,2.3,2.4,,
INDIGO-POJ-0059,outcomemetric4,At the end of the project 40 producers with 0.5 ha of newly established coffee plots with leaf rust resistant varieties. Figures on number of hectares with newly established coffee plots for each coffee farmer reported by project’s field staff,,,,,,,,,,2,,2.3,2.4,,
INDIGO-POJ-0060,outcomemetric1,Prevent institutionalisation of at least 50% of the target group,,216,,,Prevent institutionalisation of at least 50% of the target group,,,,Child and family welfare,3,,,,,99% of investment was reimbursed with the delivery of the agreed-upon outcomes
INDIGO-POJ-0061,outcomemetric1,Entry into the labor market of at least 50% of the target group,Unemployed individuals,198,Individual,,Contracted outcome was the entry into employment of at least 11 students per bootcamp.,,,,Employment and training,8,,8.5,,,
INDIGO-POJ-0062,outcomemetric1,Entering the labor market of at least 40% of the target group with a retention rate of 20% for a minimum of six months,"Young people not in employment, education or training (NEET) and finalist students seeking their first job, particularly in a more vulnerable situation, living in the Porto Metropolitan Area.",,Individual,,40% labour market insertion rate and 20% continuity of employment rate,,,,Employment and training,8,,8.5,,,The labour market insertion success rate was 45% (against a goal of 40%) and continuity of employment for 6 months occurred in 22.5% of cases (against a goal of 20%). 
