ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0058,Finance for Jobs (F4J),Palestine Youth Employment Project,Implementation,,,2019-10,,,,2019-11,,,,,"source2,source1",,,,,USD,,1800000,,,1800000,,,,,,,,,,,,,,,,,,,,,,,,Youth unemployment in Palestine,"The main purpose of the First Palestinian Employment DIB is to match employment opportunities with suitable employees by purposefully training job seekers in employer-demanded skills. The DIB will target an estimated cohort of 1,500 Palestinian job seekers aged 18–29 years (of which at least 30 percent will be women). The DIB will match skills to specific jobs, and create meaningful partnerships with the private sector to ensure sustainability. Private sector organisations will provide training, starting in 2020. They will focus initially on employment opportunities in the healthcare sector, as well as in the industrial and construction sector. Additional training will be rolled out according to market needs, with the goal of delivering sustainable employment outcomes by late 2021. It hopes to bridge the gap between academic outputs and the job-specific skills required in the Palestinian labour market, and to create new jobs for Palestinian youth by mobilising investments that deliver economic and social returns.",Employment and training,,,,,"source6,source1",,"1,500 Palestinian job seekers aged 18–29 years (of which at least 30 percent will be women).",1500,Individual,,,,,source1,,,,
INDIGO-POJ-0059,Asháninka Impact Bond (Peru Sustainable Cocoa And Coffee Production DIB),,Complete,,,2015-01,,,,2015-02,,,,,source1,,,,,USD,,110000,,,110000,,,,,,,,,,,,,,,,,,,,,,,,,"Technical assistance provided by the Rainforest Foundation UK and its partner organizations in Peru to improve collection and
postharvest techniques for cocoa, improve marketing and support commercial agreements, control leaf rust disease
and restore growing plots, build nurseries for planting resistant varieties of coffee.",Agriculture and environment,,,,,source1,,"The target population included Asháninka families (typically 2 adults and 5 children). Indigenous Asháninka live near the Ene River in the Peruvian Amazon, and the intervention targets, specifically, the Kemito Ene producer’s association. The population was only considered if they paid their membership fees and were active members of Kemito Ene",,,,99,,,,,,,
INDIGO-POJ-0060,Projeto Familia (Project Family),,Complete,"source7, source8",NO,2017-07,,,,2017-07,2020-09,2020-10,,,"source2,source3,source8",,PT,source1,,EUR,,433276,,,488254.7433,,,,,,,,,,,,,source1,,,,,,,,,,,Children and/or young people at risk of being institutionalized.,"The intervention aims at connecting a social carer with families at risk of having their children/young people institutionalized. During 6 weeks, the social carer interacts daily with familiies and helps them identify destructive behaviours. Following intensive immersion, the social carer follows up with each family on a regular basis, every three months for 12 months. The intervention aims to prevent children and/or young people from being institutionalized. ",Child and family welfare,,,,,"source5,source1,source8","*Policy sector: Social Inclusion. More information about the project: 6 weeks intensive support programme for families, followed by 12 months of continued support",Families in Porto with children/young people at risk of being institutionalized.,216,,,180,Individual,,source1,The 180 children and young people at risk can be divided into 9 administrative groups for outcome assessment purposes.,,,"The 4 Portuguese SIBs, Junior Code Academy, Family Project, Bootcamp Code Academy and Bring Yourself Forward were funded by Calouste Gulbenkian, a grant making Foundation headquartered in Lisbon. "
INDIGO-POJ-0061,Academia de Codigo Bootcamps (Code Academy Bootcamp),,Complete,"source6, source7",NO,2017-01,,,2021-05,2017-01,2020-04,,,,"source2,source3,source5,source6",,PT,source1,,EUR,,723500,,,815305.5021,,,,,,,,,,,,,source6,,,,,,,,,,,"According to the European Commission, Europe is facing a shortage of up to 900 000 skilled ICT workers, 15 000 of whom are needed in Portugal alone. On one hand there is an extremely high youth unemployment rate, whilst on the other hand there is an enormous need for coders in the Information Technology sector. The Academia de Código bootcamps intervention thus focuses on this mismatched demand and supply, allowing its students to radically change their professional path.",The intervention aims at increasing the employability of unemployed young people by helping them develop computer programming skills through an intensive training programme lasting 14 weeks (650+ hours). The project offered 9 bootcamps with 22 students each. ,Employment and training,,,,,"source4,source1",,"Unemployed young people in Fundão, Portugal. ",198,Individual,,174,Individual,,"source1,source8",,,,"The 4 Portuguese SIBs, Junior Code Academy, Family Project, Bootcamp Code Academy and Bring Yourself Forward were funded by Calouste Gulbenkian, a grant-making Foundation headquartered in Lisbon. "
INDIGO-POJ-0062,Faz-te Forward (Bring Yourself Forward),,Complete,source10,NO,2017-06,,,,2017-06,2020-09,2021-12,,,"source5,source3,source11",,PT,source1,,EUR,,387848,,,437062.3475,,EUR,15000000,16903362.17409913,,,,,,,,,,,,,,,,,,,,Youth unemployment,"The project aimed at increasing the employability and socio-occupational inclusion of young people. This is a 10-month mentoring, coaching and employability skills development programme. ",Employment and training,,,,,"source9,source4",Policy (Social inclusion- employment/training),"Young people not in employment, education or training (NEET) and finalist students seeking their first job, particularly in a more vulnerable situation, living in the Porto Metropolitan Area.",150,Individual,,150,Individual,,,,,,"The 4 Portuguese SIBs Junior Code Academy, Family Project, Bootcamp Code Academy and Bring Yourself Forward were funded by Calouste Gulbenkian, a grant making Foundation headquarterd in Lisbon. "
INDIGO-POJ-0063,Academia de Codigo Junior (Junior Code Academy),,Complete,,,2014-09,,,,2015-02,,,,,"source5,source3",,,,,EUR,,125000,,,138633.3473,,,,,,,,,,,,,,,,,,,,,,,,,"This was a pilot intervention commissioned by Lisbon City Council aimed at improving primary education students educational attainments by teaching them computer coding. The programme consisted of weekly 2-hour programming classes, offered at primary schools and within school hours in the presence of the head teacher, for 56 weeks of training. ",Education,,,,,"source8,source1",,"Students enrolled on year 3 of primary education cycle, from 3 public schools in Lisbon.",,,,50,,,source7,,,,"The 4 Portuguese SIBs Junior Code Academy, Family Project, Bootcamp Code Academy and Bring Yourself Forward were funded by Calouste Gulbenkian, a grant making Foundation headquartered in Lisbon. "
INDIGO-POJ-0064,Breaking Bars Farm,,Implementation,source1,NO,2019-10,,,,2019-10,2023-06,,,,"source1, source3",,PT,source1,,EUR,,104859,,,117508.6215,,,,,,,,,,,,,source1,,,,,,,,,,,Criminal recidivism,1 year integrated training programme for inmates including: 6 months of training on transversal/soft skills + 6 months of agricultural entrepreneurship training,Criminal justice,,,,,"source1,source3",,,40,Individual,,,,,,,,,
INDIGO-POJ-0065,Cuidar de Quem Cuida,Caring for the carers,Implementation,source1,NO,2019-04,,,,2019-04,2022-08,,,,"source1, source3",,PT,source1,,EUR,,239660,,,268572.2836,,,,,,,,,,,,,source1,,,,,,,,,,,Overload on informal caregivers,Articulated support intervention with informal caregivers of people with dementia,Health,,,,,source1,,Informal caregivers,240,Individual,,,,,source3,,,,
INDIGO-POJ-0066,Sapie (Alentejo),,Complete,source3,NO,2018-01,,,,2019-01,2020-12,2020-09,,,"source1,source3",,PT,source1,,EUR,,58924,,,69552.58254,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,Educational tool to predict early school dropouts with an alert system for the “first signs” of risk aligned with key indicators of school failure.,Education,,,,,source1,,Students,12000,Individual,,,,,source3,,,,
INDIGO-POJ-0067,Sapie (Centro),,Implementation,source1,NO,2018-01,,,,2018-01,2020-12,,,,source1,,PT,source1,,EUR,,220967,,,260824.5453,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,"Use of an educational tool to predict early school leaving, which alerts the ""first sign"" of risk in indicators of school failure",Education,,,,,source1,,Students,45000,Individual,,,,,,,,,
INDIGO-POJ-0068,Sapie (Norte),,Complete,source3,NO,2018-01,,,,2019-01,2020-09,,,,source1,,PT,source1,,EUR,,272525,,,321682.4648,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,Educational tool to predict early school dropouts with na alert system for the “first signs” of risk aligned with key indicators of school failure,Education,,,,,"source1, source3",,Students,55000,Individual,,,,,,,,,
INDIGO-POJ-0069,Spot Evora,,Implementation,source1,NO,2018-08,,,,2018-08,2021-07,,,,source1,,PT,source1,,EUR,,50000,,,59018.89089,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,"Training programme using gamification, including activities of school responsibility, learning recovery of Portuguese and Mathematics, motivational Mentorship and parental engagement",Education,,,,,source1,,Students,60,Individual,,,,,,,,,
INDIGO-POJ-0070,Aprender e Ensinar Matematica Com a Khan Academy (Centro),,Implementation,source1,NO,2018-02,,,,2018-02,2021-12,,,,source1,,PT,source1,,EUR,,248356,,,293153.9133,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,To promote the use of digital educational resources to enhance the learning and teaching of mathematics.,Education,,,,,"source1, source3",,Students,2000,Individual,,,,,,,,,
INDIGO-POJ-0071,Aprender e Ensinar Matematica Com a Khan Academy (Norte),,Implementation,source1,NO,2018-02,,,,2018-02,2021-12,,,,source1,,PT,source1,,EUR,,279713,,,330167.0205,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,To promote the use of digital educational resources to enhance the learning and teaching of mathematics ,Education,,,,,source1,,Students,2400,Individual,,,,,source3,,,,
INDIGO-POJ-0072,Programa Integrado de Promocao da Literacia (Integrated Literacy Programme),PIPL,Complete,source3,NO,2018-09,,,,2018-09,2021-08,,,,"source1,source3",,PT,source1,,EUR,,270400,,,319174.1619,,,,,,,,,,,,,source1,,,,,,,,,,,School failure,Literacy and reading promotion for families with pre-school and primary school children.,Education,,,,,source1,,Children,,,,444,Individual,,,,,,
INDIGO-POJ-0073,Early Childhood Development (ECD) Impact Bond Innovation Fund,The Impact Bond Innovation Fund,Complete,source10,,2018-06,,,,2018-01,2020-12,,,,source2,,,,,South African Rand,,9034100,,,1039296.054,,,,,,,,,,,,,,,,,,,,,,,,,"The Western Cape Foundation for Community Work (FCW) is a development and resource ECD organization that promotes the holistic development of children within the context of their families and communities, through innovative, integrated, and sustainable interventions and programmes. FCW is delivering its Family in Focus Programme in a home visitation programme where community caregivers work with parents or caregivers and children in the home to deliver ECD programming focusing on the needs of pre-school aged children. Over a three year period, the IBIF, through FCW, will seek to improve the cognitive and socio-emotional development outcomes of more than 2,000 children in the low-income communities of Atlantis and Delft, in the Western Cape province of South Africa.",Child and family welfare,,,,,source1,,Children aged 3 to 5 drawn from the low-income communities of Atlantis and Delft in South Africa’s Western Cape Province.,2000,Individual,,4000,Individual,,"source1,source10,source11",,,,"Impact Bond Innovation Fund PLC is a special purpose vehicle representing consortium comprising Volta Capital (Financial Intermediary), mothers2mothers (Technical intermediary with ECD sector expertise) and the Western Cape Foundation for Community Work (ECD service provider that delivers services on the ground)"
INDIGO-POJ-0074,Bonds 4 Jobs (South Africa),,Complete,source13,,2018-01,,2021,2020-07,2018-01,2021,2020-07,,,"source3,source13",The project ended prematurely because of Covid-19 in July 2020. ,,,,South African Rand,,75000000,,,8628109.499,,,,,,,,,,,,,,,,,,,,,,,,Youth unemployment in South Africa,"The P4P initiative is designed to accelerate the transitions of excluded South African youth into growth sectors of the economy through alternative methods of skilling and training. The implementers all implement skilling programs that are quicker, cheaper and more demand driven than traditional programs. Implementers have to prove that they have secured an income earning opportunity for the candidates prior to receiving working capital. Implementers then train the candidates and place them into jobs within the three pre-specified ""growth sectors"" in the economy namely: Business Process Outsourcing, Digital and Technology and Installation, Repairs & Maintenance.",Employment and training,,,,,"source10,source4",,South African citizens aged between 18 and 35 excluded from the economy,6000,Individual,,2000,Individual,,"source3,source14",,,,
INDIGO-POJ-0075,Haebom Project - Gyeonggi Province SIB ,Gyeonggi Province SIB ,Complete,,NO,2017-03,,,,,,,,,source1,,,,,South Korean Won,,1550000000,,,1359112.630978999,,,,,,,,,,,,,source3 ,,,,,,,,,,,,"To support people to find and sustain jobs than can improve their income level and quality of life, and reduce social welfare dependency.",Employment and training,,,,,source1,,"Low-income people who receive national basic livelihood pay, mainly because they find it difficult to work due to their home environment, illness, disability and/or old age. The 800 Aid Recipients living in Gyeonggi-do, classified as Public Aid Recipients, are those who are willing to stand on their own feet but are not supported by the service.",,,,800,,,source3,,,,"Pan-Impact Korea, a pioneer in designing SIBs for the nation, designed operation strategy and outcome metrics of Gyeonggi Province’s first SIB."
INDIGO-POJ-0076,Seoul Welfare Facilities Children Education SIB,,Implementation,,,2016-08,,,,,,,,,,,,,,South Korean Won,,1110000000,,,956539.14,,,,,,,,,,,,,,,,,,,,,,,,,"Children in Seoul city group homes identified as potential beneficiaries of extra educational support will be administered with an initial Korean Wechsler scale of intelligence test to determine programme eligibility (i.e. IQ between 71 and 84). Eligible children then receive extra-curricular academic and social skills support from service providers over three school years. There are two success measures, increase in IQ test score and improvement in social skills and behaviour. Wechsler test scores will be determined at the beginning and end of the programme. Improvements in IQ to above 84 will be considered successful or, for those children with a mild learning disability, improvement to above 70. The second social skills and behaviour measure is evaluated by school teachers in reports twice a year (six times in total) with the target for success being the average score over the final four reports showing improvement relative to the average score of the first two reports.",Education,,,,,"source2,source1",,Up to 100 children living in group care homes in Seoul classed as Borderline Intellectual Functioning (BIF) i.e. an IQ between 71 and 84. A small number of children with an IQ of below 70 (classified as having a mild learning disability).,,,,,,,source2,,,,"* BIF (Borderline Intellectual Functioning) children are those with Intellectual Quotient(IQ) level between 71~84, often recited as ‘slow learners’. Children with Mild Intellectual Disabilities(IQ level between 64~70) possibly included in part should number of BIF children from welfare facilities found to be significantly small.                                                                                                                                                                                                                                                         * Maximum Rewards Condition 42% of target population meets both predefined targets
* Principal Repayment Condition 33% of target population meets both predefined targets"
INDIGO-POJ-0077,Norrköping SIB,,Implementation,,,2016-07,,,,2016,,,,,"source2,source1",,,,,Swedish,,10000000,,,1167952.55,,,,,,,,,,,,,,,,,,,,,,,,,The intervention seeks to reduce the risk of replacement of children and young people previously placed in state care. It includes: individually adapted school support for each participant and tutoring. It will be carried out by a team specifically recruited for the intervention and an educational support expert.,Education,,,,,"source2,source3",,"To be eligible, the participant must be a child or young person that has been previously located at Home for Care and Housing (HVB) or at residential care homes offered by the Swedish National Board of Institutional Care (SiS).",,,,,,,source3,,,,
INDIGO-POJ-0078,Caritas Perspektive (Caritas Perspective),,Implementation,,,,,,,2015-07,,,,,source5,,,,,Swiss Francs,,2700000,,,2805540.716,,,,,,,,,,,,,,,,,,,,,,,,,"Based on the ""Supported Employment Approach"", the aim is to integrate refugees into the primary employement market as quickly as possible (first place, then train). After assessing a potential for a direct placement into the employment, an integration plan is drawn up with each participant, which sets out the goals and measures in the short and medium term; the future employer is closely involved in that process. Qualifying support measure take place during employement; likewise participants receive ongoing coaching. If a direct entry into employment is not considered as appropriate, particpants receive individual support measures to get employment ready. Each participant is allocated to a single coach. Employers can receive for a period up to 6 months a subvention for training in case the participant is not fully capable of fullfilling the work requirements. ",Employment and training,,,,,"source10,source4",,"Recognised refugees or other migrants with a temporarily right to stay who are not in training or employment, show a medium to high likeliness for employment integration and fall under the jurisdiction of the canton of Bern. ",120,,,,,,source11,,,,"1) Key sources.  2) Evaluator: BASS (Büro für arbeits- und sozialpolitische Studien, BASS AG) - interim (2018) and final report (2021). 3) For performance management six indicators are used which differentiate between the level of employability. 100 points (corresponding to 100%) is the maximum sum if all targets have been achieved. 4) The provider is entitled to success payments and is liable to a penalty for underperfromance. If the agreed target is exceeded by 5% or more and up to a 40% excess, it is entitled to a bonus of up to 1.5% of total programme costs (CHF 40,500). If the agreed target is not not met by 5% or more and up to a 40% shortfall, it is liable to pay a penalty of up to 1.5% of total programme costs (CHF 40,500). Likewise for investors, if the agreed target is reached or exceeded investors will be repaid principal plus interest of 0.25% p.a. (CHF 33,750) and up to 1% p.a. for an excess in performance of 40% or more (CHF 137,700). If the agreed target is not reached, investors will not receive any interest and principal will not be repaid in full, with a maximum reduction of 4.9%  of total project costs for a shortfall in performance of 40% or more (approx. 1.0% p.a. = CHF 132,300)"
INDIGO-POJ-0079,Education Improvement Project in the Republic of Sakha (Yakutia),,Implementation,,,2019-06,,,,2019-06,,,,,source1,,,,,Russian rubles,,60000000,,,926653.4693,,,,,,,,,,,,,,,,,,,,,,,,,"The project’s aim is to improve the quality of general education, to make human resources more competitive, and to transform the management mechanism of general education, which will ensure sustained improvement in local education. The project’s social outcomes are measured using an educational performance index calculated as a weighted total of grades in the State Final Examinations (Basic State Examination and Unified State Examination) and academic competitions.",Education,,,,,source1,,"27 schools, including approximately 5000 schoolchildren and 780 school teachers ",5000,,,,,,source1,,,,
INDIGO-POJ-0080,ATMAH,,Implementation,,NO,,2020-03,,,2020-04,2021-07,,,,source2,,,,,AED,,2000000,,,544588.1552,,AED,2000000,,,,,,,,,,,,,,,,,,,,,,"As the first SIB in the Gulf, ATMAH will launch a new vocational pilot training programme, designed to equip People of Determination in Abu Dhabi with employability skills and help them secure permanent employment. The aim is that, through the programme, students will benefit from gaining life skills, vocational training, work placement and a permanent job. Their families will gain a better quality of life as their child becomes increasingly independent and employers in Abu Dhabi will benefit from a more diverse workforce. In addition, it gives teachers the opportunity to improve their skills and confidence with People of Determination, as well as testing a new curriculum. The pilot will be assessed at the end of a 15-month programme to determine its success and the next steps will be decided.",Employment and training,,,,,source1,,25 students of determination with learning disabilities.,25,,,,,,source2,,,,The ZHO (Zayed Higher Organisation for People of Determination) will adopt a supervisory role and will support the programme through the provision of comprehensive evaluation services.
INDIGO-POJ-0081,Newpin Queensland Social Benefit Bond,,Complete,,,2017-03,,2024,2020-06,2018-01,,2020-06,,,"source6,source3,source15","The Newpin Qld SBB terminated in June 2020, before its planned maturity date. A key issue for the Newpin Qld SBB which led to its termination were challenges experienced at the Cairns Newpin Centre, which experienced significantly lower than planned enrolments of families and children.",,,,AUD,,6000000,,,4598553.638,,,,,,,,,,,,,,,,,,,,,,,,,"The Newpin (New Parent Infant Network)  SBB has a focus on reunifying Aboriginal and Torres Islander children in the child protection system safely with their families. The Newpin Program works intensively to safely return children in out-of-home care to their families. It supports both parents and children in a collaborative person-centred and respectful way through a combination of formal and informal groups. The therapeutic program is centre-based and families will attend the program for a minimum of two days per week for up to eighteen months, as part of working towards family reunification.",Child and family welfare,,,,,"source5,source11",,"To be eligible for referral to the Newpin Program, a family must have at least one child:
● who is aged less than five and a half; and
● who is in, has been referred or will be referred to OOHC for at least three months; and
● for whom reunification is considered by the State to be a suitable goal. In addition, the parent has to live within a centre catchment, be female, and be regarded as the target for possible reunification.",,,,,,,source12,,,,
INDIGO-POJ-0082,Utah High Quality Preschool Program,,Implementation,,,2013-06,,,,2013-09,,,,,"source2,source4",,,,,USD,,7000000,,,7000000,,,,,,,,,,,,,source14,Investors contributed a total of $7 million to implement the preschool program for 5 cohorts of children from the 2013/14 to the 2017/18 school years (SY).,,,,,,,,,,"Providing preschool services to 3- and 4-year-old children in low-income areas in Salt Lake County, Utah","Delivery of high impact and targeted curriculum to increase school readiness and academic performance among preschoolers. The program is a locally-designed, structured preschool model that lasts 1 or 2 years. As a result of entering kindergarten better prepared, it is expected that fewer children will use special education and remedial services in kindergarten through 12th grade.",Education,4,10,,,"source1,source3,source14",,"Low-income 3 and 4 year olds are invited to participate in the preschool program, but only those who score 70 or less on the Peabody Picture Vocabulary Test are tracked through primary school.",,,,,,,source9,,,,"Impact evaluation did not include any control group analysis leading some critics to suggest that investor returns exceeded the value of the savings generated by the intervention. Some argue that multiple outcomes and metrics should have been specified. Also, while the program itself has ended, outcomes will be tracked until 2025."
INDIGO-POJ-0083,NYC Adolescent Behavioral Learning Experience (i.e. ABLE) Project for Incarcerated Youth,,Complete,,,,,,,2012-08,,,,,source3,,,,,USD,,7200000,,,7200000,,,,,,,,,,,,,,,,,,,,,,,,,"The ABLE program aims to break the cycle of re-incarceration for adolescents in jail using Moral Reconation Therapy (i.e. MRT), an evidence-based intervention that focuses on improving decision-making. MRT is a form of cognitive behavioral therapy in which participants progress through a series of steps with the help of a trained facilitator, graduating from one stage to the next by delivering testimonies or presentations about themselves. The goal of the intervention is to decrease the participant's likelihood of future criminal behavior and reincarceration. 
",Criminal justice,,,,,"source15,source2",,Youth between ages of 16 and 18 attending school while being detained at Rikers Island jail.,,,,1255,Individual,,source16,,,,The intervention failed to reach the outcome goal and was therefore discontinued after 3 years. 
INDIGO-POJ-0084,New York State Increasing Employment and Improving Public Safety,,Implementation,,,2013-10,,,,2013-12,,,,,"source2,source3",,,,,USD,,13500000,,,13500000,,,,,,,,,,,,,,,,,,,,,,,,,"The project will expand a comprehensive, evidence-based employment intervention for 2,000 formerly incarcerated individuals in New York City (“NYC”) and Rochester with the goals of increasing employment, reducing re-incarceration, and thus improving public safety. The intervention is composed of a set of evidence-based, comprehensive core services, including intensive life skills training for five days, immediate placement into a part-time subsidized subsidized transitional job (generally, 9 weeks of work over a period of 4 months), job placement into an unsubsidized job as participants are assessed to be job-ready; and job retention support for one year. The intervention is predicated on the belief that in order to succeed in life after prison, ex-offenders need to become attached to their communities and the job market as soon as possible after release.",Criminal justice,,,,,"source12,source1",,Recently-released individuals under community supervision in NYC and Rochester who are at high-risk of returning to prison.,2000,,,,,,source1,,,,"Evaluation for this project has not yet been completed. This project is the first-ever Pay for Success offering distributed via a leading wealth management platform, made available to qualified private and institutional investor clients of Merrill Lynch and U.S. Trust and other impact investors."
INDIGO-POJ-0085,Massachusetts Juvenile Justice PFS Initiative,,Implementation,,,2014-01,,,,2014-01,,,,,"source2,source4",,,,,USD,,18000000,,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,"The initiative aims to reduce recidivism and improve employment outcomes for young men at high risk of re-offending.  The four-year intervention consists of two years of intensive engagement and two years of follow-up, and includes four basic elements: outreach to young men by Roca staff; intensive case management; life skills, educational, prevocational, and employment programming; and connection to work opportunities with community partners. Roca helps young men change their behaviors while learning how to go to work, beginning with subsidized employment opportunities and transitioning when ready into full-time positions with employer partners. ",Criminal justice,,,,,"source14,source3",,"The project is serving young men aged 17-24 who are in the Boston, Chelsea or Springfield areas and (i) leaving the juvenile justice system, (ii) are involved in the probation or parole system, or (iii) are leaving the custody of the Suffolk, Essex, Hampden, and Middlesex Houses of Correction or the state's Department of Correction. ",,,,,,,source15,,,,This project is still in progress and no evaluation data has yet been published. 
INDIGO-POJ-0086,Chicago Child-Parent Center PFS Initiative,,Implementation,,,2014-10,,,,2014-12,,,,,"source2,source3",,,,,USD,,16900000,,,16900000,,,,,,,,,,,,,,,,,,,,,,,,,"Chicago Public Schools (CPS) and the City of Chicago have launched a Pay-for-Success (PFS) contract that will allow the City to provide high quality pre-K services to more than 2,600 children in high-need communities through the successful Child Parent Center (CPC) education program.The intervention is based on the Child-Parent Center (CPC) preschool model. The program provides high quality half and full day preschool education to three- and four-year olds as well as comprehensive family services. It seeks to identify and rectify low-severity learning and behavioral challenges allowing students to stay on track with their peers. The model achieves its outcomes by working with students and parents to help foster better learning at home and helping families address the myriad of challenges they face. CPC is equipped with a Parent Resource Teacher and School Community Representative who engages parents both inside and outside of the CPC.",Education,,,,,"source11,source1",,Four-year old Chicago Public School children eligible for free or reduced lunch,2618,,,,,,source12,,,,"The City of Chicago and the Board of Education of the City of Chicago (Chicago Public Schools) are both payors but are paying for different success outcomes. City of Chicago is paying for outcomes related to kindergarten readiness and third-grade literacy, while Chicago Public Schools is paying for an outcome related to avoided special education costs. "
INDIGO-POJ-0087,The Cuyahoga Partnering for Family Success Program,,Implementation,,,2014-10,,,,2015-01,,,,,"source2,source3",A pilot project started on 01/09/2014. Main project started on 01/01/2015.,,,,USD,,3850000,,,3850000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention is twofold. First, the service provider linkS each homeless caregiver to housing. Second, the provider delivers an evidence-based homelessness transition therapy known as ""Critical Time Intervention"" (i.e. CTI), which helps vulnerable families that are experiencing homeless to slowly reconnect to community support networks and settle succesfully in newly attained housing. CTI is paired with age-appropriate, evidence-based trauma services that will strengthen healthy and secure caregiver-child relationships. The intervention aims to reduce the time children spend in out-of-home foster care by stabilizing the family's home environment (e.g. encourage participants to participate in mental health services and substance abuse counseling, find employment etc.) and increasing family reunification success.",Child and family welfare,,,,,"source7,source1",,"Caregivers identified as homeless, who have children currently in Department of Children and Family Services (i.e. DCFS) 
temporary out-of-home placement ",135,,,,,,source8,,,,"12–15 months of intensive treatment to 135 families, enrolled over the course of 3 years. Total project duration 5 years (4 years delivering intervention and 1 yearwind-up in which success payments are calculated).  The service delivery ended in December 2018 and the evaluation is still ongoing. Payments will be made in January or February of 2020."
INDIGO-POJ-0088,Massachusetts Chronic Individual Homelessness Pay for Success Initiative,,Implementation,,,2014-12,,,,2015-12,,,,,"source5,source2",08/12/2014 (date announced) and  01/12/2015 (implementation start),,,,USD,,2500000,,,2500000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention is based on the Massachusetts Housing and Shelter Alliance's ""Home & Healthy for Good"" model. This program provides flexible funding for permanent supportive housing for chronically homeless individuals. More specifically,  participants are housed and connected with appropriate mainstream resources such as physical and behavioral health care services, and other services brokered through community support services designed and proven to promote housing retention and good health.",Homelessness,,,,,"source6,source4",,"Individuals defined as ""chronically homeless"" by US Department of Housing & Urban Development or identified as homeless, anticipated high-cost users of emergency services.",800,,,,,,source18,,,,
