Project ID,Outcome Metric Id - (Value),Result level - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Outcomes achieved - (Value),Number engaged In impact bond - (Value),Number with Positive social outcomes - (Value),Other Description of result - (Value),Outcomes validator(s) - (Value),Evaluation Documents - (Value),Sources,Notes,(In Sandboxes)
INDIGO-POJ-0007,outcomemetric1,Outcome level,Interim,2017-10,2021-06,"Program data and qualitative feedback from clients and staff highlight the positive impact Resolve has for clients. The data indicates that Resolve has supported clients to reduce their engagement with the health system by reducing the number and length of their hospital stays, and Emergency Department presentations (when compared with the year prior to Resolve enrolment).",,,,,,,"Additional outcomes noted by clients included improved confidence, social connections, participation in community life, and relationships.",
INDIGO-POJ-0014,outcomemetric1,Outcome level,Interim,2019-11,2021-03,500,,500,"500 ODF villages, 31% of the overall goal of 1600 villages.",,source7,,"There are 88,738 households living within the 500 villages—all of which have been confirmed to have access to sanitation, in line with the Royal Government of Cambodia’s ODF guidelines.",
INDIGO-POJ-0015,outcomemetric1,Outcome level,,,,1221,,,"The DIB successfully equipped 10 hospitals to deliver quality KMC, trained 47 neonatal clinicians and 121 community health workers to support carers to use KMC with low-birth-weight and pre-term babies. As a result, 1,221 babies received quality KMC, 28% percent above the DIB target of 951 babies. Hospital clinicians reported high levels of patient satisfaction and lower infant morbidity and mortality at programme hospitals, although this was not independently assessed. The Cameroon Ministry of Public Health is now working to embed national roll-out of KMC in their strategy for Maternal and Newborn health. ",,,,,
INDIGO-POJ-0015,outcomemetric2,Outcome level,,,,0.8,,,"80% of babies were exclusively breastfed at point of discharge from hospital and 80% percent of babies returning for check-ups showed appropriate weight gain at 40 weeks gestational age. Hospital clinicians reported high levels of patient satisfaction and lower infant morbidity and mortality at programme hospitals, although this was not independently assessed. The Cameroon Ministry of Public Health is now working to embed national roll-out of KMC in their strategy for Maternal and Newborn health. ",,,,,
INDIGO-POJ-0023,outcomemetric1,,,,,,899,,,,,,,
INDIGO-POJ-0025,outcomemetric1,,,,,,1580,,,,,,,
INDIGO-POJ-0033,outcomemetric1,,,,,,69,,,,,,,
INDIGO-POJ-0036,,Project level,Final,2018-04,2022-09,"Students in the programme learned 2.5 times more than those in non-participating schools. Despite the challenges of COVID-19, students continued to show learning gains in the programme. Twice as many students  achieved age-appropriate learning levels compared to non-participating schools. Personalised and Adaptive Learning through technology showed 5x the learning gains for students. Community support also played a significant role in increasing engagement and learning gains as it involved higher contact time with the students.",,,,INDIGO-ORG-0183,source9,,,
INDIGO-POJ-0039,outcomemetric1,,,,,,640,,,,,,,
INDIGO-POJ-0059,outcomemetric1,,,,,,99,,,,,,,
INDIGO-POJ-0060,outcomemetric1,Project level,Final,,,Global succcess rate was 91%: with all outcomes achieved,216,,,,,,99% of investment was reimbursed with the delivery of the agreed-upon outcomes.,
INDIGO-POJ-0061,outcomemetric1,Outcome level,Final,2017-01-01,2019-12-01,"The project delivered all its contracted results, providing labour market entry for a minimum of 11 students per bootcamp, within the contracted period.",198,99,,,source6,,198 unemployed individuals (9 bootcamps of 22 students each). At least 11 students per bootcamp (99 individuals),
INDIGO-POJ-0062,outcomemetric1,Outcome level,Final,,,The labour market insertion success rate was 45% (against a goal of 40%).,150,,,,,,,
INDIGO-POJ-0062,outcomemetric2,Outcome level,Final,,,Continuity of employment for 6 months occurred in 22.5% of cases (against a goal of 20%).,150,,,,,,,
INDIGO-POJ-0063,outcomemetric1,,,,,,50,,,,,,,
INDIGO-POJ-0073,outcomemetric1,Outcome level,Final,,,"In year one (2018), FCW fell slightly short of the attendance target in the pre pre-grade R group. Ninety percent of children and their caregivers completed at least 50% of planned sessions with the home visitors. Subsequent recruitment and retention and attendance targets were exceeded. FCW exceeded the targets in 2019 for pre pre-grade R, and in 2018 and 2019 for the pre-grade R cohort",4000,,,,,,,
INDIGO-POJ-0073,outcomemetric2,Outcome level,Final,,,"In year one (2018), FCW fell slightly short of the attendance target in the pre pre-grade R group. Ninety percent of children and their caregivers completed at least 50% of planned sessions with the home visitors. Subsequent recruitment and retention and attendance targets were exceeded. FCW exceeded the targets in 2019 for pre pre-grade R, and in 2018 and 2019 for the pre-grade R cohort",4000,,,,,,,
INDIGO-POJ-0073,outcomemetric3,Outcome level,Final,,,"FCW missed the ELOM targets at both assessment points in 2018 and 2019. Several reasons were proffered for missing the target on the first ELOM assessment. One set of reasons relates to the poverty that the beneficiaries live in. At the first ELOM assessment, some children needed to be excluded due to malnourishment and hunger. A second set of reasons derives from the nature of the ELOM assessment. It required that the children interact, on a one-on-one basis (without their caregivers), with a stranger (the trained assessor), in a strange environment (the testing location) for 45 minutes. For children not in a centre-based early learning environment and therefore not accustomed to this kind of interaction, this proved to be challenging. ",4000,,,,,,,
INDIGO-POJ-0074,outcomemetric1,Outcome level,Final,2018-01,2020-07,1809 people got a job after participating in this SIB project.,,,,,,,The project ended prematurely because of Covid-19 in July 2020. ,
INDIGO-POJ-0075,outcomemetric1,Project level,Final,,,"According to the evaluation results of the evaluation agency, 160 people, 20% of the subjects, were originally set to succeed in the Welfair Exit, but as a result of the evaluation, 178 people, or 22.3% of the subjects, succeeded in the Welfair Exit and the social benefits of the project amounted to about 10 billion won.",,,,,,,,
INDIGO-POJ-0082,,Project level,Interim,2013,2016,"The SIL funded preschool seats for both 3-year-olds and 4-year-olds for 5 years, and 2,681 distinct children were able to attend high-quality preschool because of the investment. ",,2681,,,,,,
INDIGO-POJ-0083,outcomemetric1,,,,,,,,,,,,1255 engaged in impact bond for outcome metrics,
INDIGO-POJ-0084,outcomemetric1,,,,,,2000 (split in 2 cohorts),,,,,,,
INDIGO-POJ-0088,outcomemetric1,,,,,,710 (two-year mark),,,,,,,
INDIGO-POJ-0090,outcomemetric1,,,,,,progressing on target at November 2018,,,,,,,
INDIGO-POJ-0091,outcomemetric1,,,,,,285 (up to 30/6/18),,,,,,,
INDIGO-POJ-0099,outcomemetric1,Project level,Final,2017-10,2019-09,"The final evaluation report found that JIR PFS participants had an average 22 percent reduction in the use of shelter/temporary housing services, with corresponding cost savings of $1,643 per participant.",,,,INDIGO-ORG-1030,source16,,,
INDIGO-POJ-0099,outcomemetric2,Project level,Final,2017-10,2019-09,"The final evaluation report estimated that JIR PFS participation was associated with a statistically significant decrease of 24 days in jail per participant relative to the comparison group over the 12-month post-housing period. This was associated with a statistically significant decrease in jail service costs of $16,891 per participant. We also found a significantly greater number of average probation days—125 more days—among PFS participants relative to the comparison group over the 12-month post-housing period and an associated increased cost of $672 per participant. ",,,,INDIGO-ORG-1031,source16,,,
INDIGO-POJ-0109,outcomemetric1,,,,,,,,,,,,92 engaged in impact bond for outcome metric1,
INDIGO-POJ-0111,outcomemetric1,,,,,,31,,,,,,,
INDIGO-POJ-0113,outcomemetric1,Outcome level,Interim,2018-11,2021-02,146,,,"To date (2021-02), 146 people have been newly diagnosed through the SIB.",,,,,
INDIGO-POJ-0113,outcomemetric2,Outcome level,Interim,2018-11,2021-02,139,,,"To date (2021-02), 139 have re-engaged with treatment.",,,,,
INDIGO-POJ-0119,outcomemetric1,Outcome level,Final,2018-01,2022-06,1134,1571,,,,source13,,,
INDIGO-POJ-0119,outcomemetric2,Outcome level,Final,2018-01,2022-06,857,1571,,,,source13,,,
INDIGO-POJ-0120,outcomemetric1,Outcome level,Interim,2015-07,2019-01,,3600 (as of Jan 2019),,,,,,,
INDIGO-POJ-0121,outcomemetric1,Project level,Final,2018-10-01,2022-10-01,231,241,,,,,,,
INDIGO-POJ-0121,outcomemetric2,Project level,Final,2018-10-01,2022-10-01,225,241,,,,,,,
INDIGO-POJ-0121,outcomemetric3,Project level,Final,2018-10-01,2022-10-01,230,241,,,,,,,
INDIGO-POJ-0121,outcomemetric4,Project level,Final,2018-10-01,2022-10-01,227,241,,,,,,,
INDIGO-POJ-0121,outcomemetric5,Project level,Final,2018-10-01,2022-10-01,136,241,,,,,,,
INDIGO-POJ-0121,outcomemetric6,Project level,Final,2018-10-01,2022-10-01,132,241,,,,,,,
INDIGO-POJ-0121,outcomemetric7,Project level,Final,2018-10-01,2022-10-01,109,241,,,,,,,
INDIGO-POJ-0121,outcomemetric8,Project level,Final,2018-10-01,2022-10-01,94,241,,,,,,,
INDIGO-POJ-0121,outcomemetric9,Project level,Final,2018-10-01,2022-10-01,41,241,,,,,,,
INDIGO-POJ-0121,outcomemetric10,Project level,Final,2018-10-01,2022-10-01,33,241,,,,,,,
INDIGO-POJ-0121,outcomemetric11,Project level,Final,2018-10-01,2022-10-01,10,241,,,,,,,
INDIGO-POJ-0121,outcomemetric12,Project level,Final,2018-10-01,2022-10-01,10,241,,,,,,,
INDIGO-POJ-0121,outcomemetric13,Project level,Final,2018-10-01,2022-10-01,4,241,,,,,,,
INDIGO-POJ-0121,outcomemetric14,Project level,Final,2018-10-01,2022-10-01,2,241,,,,,,,
INDIGO-POJ-0121,outcomemetric15,Project level,Final,2018-10-01,2022-10-01,3,241,,,,,,,
INDIGO-POJ-0121,outcomemetric16,Project level,Final,2018-10-01,2022-10-01,29,241,,,,,,,
INDIGO-POJ-0121,outcomemetric17,Project level,Final,2018-10-01,2022-10-01,19,241,,,,,,,
INDIGO-POJ-0121,outcomemetric18,Project level,Final,2018-10-01,2022-10-01,6,241,,,,,,,
INDIGO-POJ-0121,outcomemetric19,Project level,Final,2018-10-01,2022-10-01,126,241,,,,,,,
INDIGO-POJ-0121,outcomemetric20,Project level,Final,2018-10-01,2022-10-01,114,241,,,,,,,
INDIGO-POJ-0121,outcomemetric21,Project level,Final,2018-10-01,2022-10-01,102,241,,,,,,,
INDIGO-POJ-0121,outcomemetric22,Project level,Final,2018-10-01,2022-10-01,73,241,,,,,,,
INDIGO-POJ-0121,outcomemetric23,Project level,Final,2018-10-01,2022-10-01,41,241,,,,,,,
INDIGO-POJ-0122,outcomemetric1,Outcome level,Final,2018-10,2022-10,240,264,,,,,,,
INDIGO-POJ-0122,outcomemetric2,Outcome level,Final,2018-10,2022-10,235,264,,,,,,,
INDIGO-POJ-0122,outcomemetric3,Outcome level,Final,2018-10,2022-10,227,264,,,,,,,
INDIGO-POJ-0122,outcomemetric4,Outcome level,Final,2018-10,2022-10,137,264,,,,,,,
INDIGO-POJ-0122,outcomemetric5,Outcome level,Final,2018-10,2022-10,90,264,,,,,,,
INDIGO-POJ-0122,outcomemetric6,Outcome level,Final,2018-10,2022-10,99,264,,,,,,,
INDIGO-POJ-0122,outcomemetric7,Outcome level,Final,2018-10,2022-10,90,264,,,,,,,
INDIGO-POJ-0122,outcomemetric8,Outcome level,Final,2018-10,2022-10,88,264,,,,,,,
INDIGO-POJ-0122,outcomemetric9,Outcome level,Final,2018-10,2022-10,48,264,,,,,,,
INDIGO-POJ-0122,outcomemetric10,Outcome level,Final,2018-10,2022-10,21,264,,,,,,,
INDIGO-POJ-0122,outcomemetric11,Outcome level,Final,2018-10,2022-10,6,264,,,,,,,
INDIGO-POJ-0122,outcomemetric12,Outcome level,Final,2018-10,2022-10,13,264,,,,,,,
INDIGO-POJ-0122,outcomemetric13,Outcome level,Final,2018-10,2022-10,9,264,,,,,,,
INDIGO-POJ-0122,outcomemetric14,Outcome level,Final,2018-10,2022-10,5,264,,,,,,,
INDIGO-POJ-0122,outcomemetric15,Outcome level,Final,2018-10,2022-10,2,264,,,,,,,
INDIGO-POJ-0122,outcomemetric16,Outcome level,Final,2018-10,2022-10,4,264,,,,,,,
INDIGO-POJ-0122,outcomemetric17,Outcome level,Final,2018-10,2022-10,3,264,,,,,,,
INDIGO-POJ-0122,outcomemetric18,Outcome level,Final,2018-10,2022-10,1,264,,,,,,,
INDIGO-POJ-0122,outcomemetric19,Outcome level,Final,2018-10,2022-10,159,264,,,,,,,
INDIGO-POJ-0122,outcomemetric20,Outcome level,Final,2018-10,2022-10,149,264,,,,,,,
INDIGO-POJ-0122,outcomemetric21,Outcome level,Final,2018-10,2022-10,129,264,,,,,,,
INDIGO-POJ-0122,outcomemetric22,Outcome level,Final,2018-10,2022-10,103,264,,,,,,,
INDIGO-POJ-0122,outcomemetric23,Outcome level,Final,2018-10,2022-10,72,264,,,,,,,
INDIGO-POJ-0123,outcomemetric1,Outcome level,Final,2018-10,2022-10,103,131,,,,,,,
INDIGO-POJ-0123,outcomemetric2,Outcome level,Final,2018-10,2022-10,0,131,,,,,,,
INDIGO-POJ-0123,outcomemetric3,Outcome level,Final,2018-10,2022-10,91,131,,,,,,,
INDIGO-POJ-0123,outcomemetric4,Outcome level,Final,2018-10,2022-10,87,131,,,,,,,
INDIGO-POJ-0123,outcomemetric5,Outcome level,Final,2018-10,2022-10,99,131,,,,,,,
INDIGO-POJ-0123,outcomemetric6,Outcome level,Final,2018-10,2022-10,53,131,,,,,,,
INDIGO-POJ-0123,outcomemetric7,Outcome level,Final,2018-10,2022-10,45,131,,,,,,,
INDIGO-POJ-0123,outcomemetric8,Outcome level,Final,2018-10,2022-10,32,131,,,,,,,
INDIGO-POJ-0123,outcomemetric9,Outcome level,Final,2018-10,2022-10,17,131,,,,,,,
INDIGO-POJ-0123,outcomemetric10,Outcome level,Final,2018-10,2022-10,19,131,,,,,,,
INDIGO-POJ-0123,outcomemetric11,Outcome level,Final,2018-10,2022-10,3,131,,,,,,,
INDIGO-POJ-0123,outcomemetric12,Outcome level,Final,2018-10,2022-10,0,131,,,,,,,
INDIGO-POJ-0123,outcomemetric13,Outcome level,Final,2018-10,2022-10,0,131,,,,,,,
INDIGO-POJ-0123,outcomemetric14,Outcome level,Final,2018-10,2022-10,0,131,,,,,,,
INDIGO-POJ-0123,outcomemetric15,Outcome level,Final,2018-10,2022-10,0,131,,,,,,,
INDIGO-POJ-0123,outcomemetric16,Outcome level,Final,2018-10,2022-10,22,131,,,,,,,
INDIGO-POJ-0123,outcomemetric17,Outcome level,Final,2018-10,2022-10,21,131,,,,,,,
INDIGO-POJ-0123,outcomemetric18,Outcome level,Final,2018-10,2022-10,17,131,,,,,,,
INDIGO-POJ-0123,outcomemetric19,Outcome level,Final,2018-10,2022-10,73,131,,,,,,,
INDIGO-POJ-0123,outcomemetric20,Outcome level,Final,2018-10,2022-10,64,131,,,,,,,
INDIGO-POJ-0123,outcomemetric21,Outcome level,Final,2018-10,2022-10,54,131,,,,,,,
INDIGO-POJ-0123,outcomemetric22,Outcome level,Final,2018-10,2022-10,46,131,,,,,,,
INDIGO-POJ-0123,outcomemetric23,Outcome level,Final,2018-10,2022-10,33,131,,,,,,,
INDIGO-POJ-0130,outcomemetric1,,,,,,335,,,,,,,
INDIGO-POJ-0131,outcomemetric1,Outcome level,Final,2015-01,2017-12,406,,,,,,,Assessment figures were extracted from a Social Finance interim presentation on the Fair Chance Fund projects. ,
INDIGO-POJ-0131,outcomemetric2,Outcome level,Final,2015-01,2017-12,351,,,,,,,Assessment figures were extracted from a Social Finance interim presentation on the Fair Chance Fund projects. ,
INDIGO-POJ-0131,outcomemetric3,Outcome level,Final,2015-01,2017-12,302,,,,,,,Assessment figures were extracted from a Social Finance interim presentation on the Fair Chance Fund projects. ,
INDIGO-POJ-0131,outcomemetric4,Outcome level,Final,2015-01,2017-12,370,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric5,Outcome level,Final,2015-01,2017-12,328,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric6,Outcome level,Final,2015-01,2017-12,288,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric7,Outcome level,Final,2015-01,2017-12,235,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric8,Outcome level,Final,2015-01,2017-12,201,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric9,Outcome level,Final,2015-01,2017-12,152,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric10,Outcome level,Final,2015-01,2017-12,46,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric11,Outcome level,Final,2015-01,2017-12,35,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric12,Outcome level,Final,2015-01,2017-12,5,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric13,Outcome level,Final,2015-01,2017-12,141,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric14,Outcome level,Final,2015-01,2017-12,21,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric15,Outcome level,Final,2015-01,2017-12,6,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric16,Outcome level,Final,2015-01,2017-12,68,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric17,Outcome level,Final,2015-01,2017-12,46,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric18,Outcome level,Final,2015-01,2017-12,92,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric19,Outcome level,Final,2015-01,2017-12,59,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric20,Outcome level,Final,2015-01,2017-12,38,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0131,outcomemetric21,Outcome level,Final,2015-01,2017-12,23,,,,,,,Outcome figures were extracted from the final evaluation report by IFC.,
INDIGO-POJ-0132,outcomemetric1,Outcome level,Final,2015-01,2017-12,162,,,,,,,,
INDIGO-POJ-0132,outcomemetric2,Outcome level,Final,2015-01,2017-12,152,,,,,,,,
INDIGO-POJ-0132,outcomemetric3,Outcome level,Final,2015-01,2017-12,140,,,,,,,,
INDIGO-POJ-0132,outcomemetric4,Outcome level,Final,2015-01,2017-12,151,,,,,,,,
INDIGO-POJ-0132,outcomemetric5,Outcome level,Final,2015-01,2017-12,143,,,,,,,,
INDIGO-POJ-0132,outcomemetric6,Outcome level,Final,2015-01,2017-12,133,,,,,,,,
INDIGO-POJ-0132,outcomemetric7,Outcome level,Final,2015-01,2017-12,106,,,,,,,,
INDIGO-POJ-0132,outcomemetric8,Outcome level,Final,2015-01,2017-12,85,,,,,,,,
INDIGO-POJ-0132,outcomemetric9,Outcome level,Final,2015-01,2017-12,63,,,,,,,,
INDIGO-POJ-0132,outcomemetric10,Outcome level,Final,2015-01,2017-12,27,,,,,,,,
INDIGO-POJ-0132,outcomemetric11,Outcome level,Final,2015-01,2017-12,36,,,,,,,,
INDIGO-POJ-0132,outcomemetric12,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0132,outcomemetric13,Outcome level,Final,2015-01,2017-12,73,,,,,,,,
INDIGO-POJ-0132,outcomemetric14,Outcome level,Final,2015-01,2017-12,6,,,,,,,,
INDIGO-POJ-0132,outcomemetric15,Outcome level,Final,2015-01,2017-12,4,,,,,,,,
INDIGO-POJ-0132,outcomemetric16,Outcome level,Final,2015-01,2017-12,43,,,,,,,,
INDIGO-POJ-0132,outcomemetric17,Outcome level,Final,2015-01,2017-12,29,,,,,,,,
INDIGO-POJ-0132,outcomemetric18,Outcome level,Final,2015-01,2017-12,27,,,,,,,,
INDIGO-POJ-0132,outcomemetric19,Outcome level,Final,2015-01,2017-12,21,,,,,,,,
INDIGO-POJ-0132,outcomemetric20,Outcome level,Final,2015-01,2017-12,17,,,,,,,,
INDIGO-POJ-0132,outcomemetric21,Outcome level,Final,2015-01,2017-12,15,,,,,,,,
INDIGO-POJ-0133,outcomemetric1,Outcome level,Final,2015-01,2017-12,209,,,,,,,Assessment figures are taken from a Social Finance presentation on Fair Cahnce Projects (May 2018). All other figures were extracted from the final evaluation report. ,
INDIGO-POJ-0133,outcomemetric2,Outcome level,Final,2015-01,2017-12,182,,,,,,,,
INDIGO-POJ-0133,outcomemetric3,Outcome level,Final,2015-01,2017-12,126,,,,,,,,
INDIGO-POJ-0133,outcomemetric4,Outcome level,Final,2015-01,2017-12,192,,,,,,,,
INDIGO-POJ-0133,outcomemetric5,Outcome level,Final,2015-01,2017-12,188,,,,,,,,
INDIGO-POJ-0133,outcomemetric6,Outcome level,Final,2015-01,2017-12,179,,,,,,,,
INDIGO-POJ-0133,outcomemetric7,Outcome level,Final,2015-01,2017-12,165,,,,,,,,
INDIGO-POJ-0133,outcomemetric8,Outcome level,Final,2015-01,2017-12,142,,,,,,,,
INDIGO-POJ-0133,outcomemetric9,Outcome level,Final,2015-01,2017-12,91,,,,,,,,
INDIGO-POJ-0133,outcomemetric10,Outcome level,Final,2015-01,2017-12,23,,,,,,,,
INDIGO-POJ-0133,outcomemetric11,Outcome level,Final,2015-01,2017-12,11,,,,,,,,
INDIGO-POJ-0133,outcomemetric12,Outcome level,Final,2015-01,2017-12,1,,,,,,,,
INDIGO-POJ-0133,outcomemetric13,Outcome level,Final,2015-01,2017-12,57,,,,,,,,
INDIGO-POJ-0133,outcomemetric14,Outcome level,Final,2015-01,2017-12,2,,,,,,,,
INDIGO-POJ-0133,outcomemetric15,Outcome level,Final,2015-01,2017-12,0,,,,,,,,
INDIGO-POJ-0133,outcomemetric16,Outcome level,Final,2015-01,2017-12,30,,,,,,,,
INDIGO-POJ-0133,outcomemetric17,Outcome level,Final,2015-01,2017-12,20,,,,,,,,
INDIGO-POJ-0133,outcomemetric18,Outcome level,Final,2015-01,2017-12,16,,,,,,,,
INDIGO-POJ-0133,outcomemetric19,Outcome level,Final,2015-01,2017-12,13,,,,,,,,
INDIGO-POJ-0134,outcomemetric1,Outcome level,Final,2015-01,2017-12,345,353,,,,,,,
INDIGO-POJ-0134,outcomemetric2,Outcome level,Final,2015-01,2017-12,295,,,,,,,,
INDIGO-POJ-0134,outcomemetric3,Outcome level,Final,2015-01,2017-12,271,,,,,,,,
INDIGO-POJ-0134,outcomemetric4,Outcome level,Final,2015-01,2017-12,293,,,,,,,,
INDIGO-POJ-0134,outcomemetric5,Outcome level,Final,2015-01,2017-12,282,,,,,,,,
INDIGO-POJ-0134,outcomemetric6,Outcome level,Final,2015-01,2017-12,267,,,,,,,,
INDIGO-POJ-0134,outcomemetric7,Outcome level,Final,2015-01,2017-12,235,,,,,,,,
INDIGO-POJ-0134,outcomemetric8,Outcome level,Final,2015-01,2017-12,199,,,,,,,,
INDIGO-POJ-0134,outcomemetric9,Outcome level,Final,2015-01,2017-12,172,,,,,,,,
INDIGO-POJ-0134,outcomemetric10,Outcome level,Final,2015-01,2017-12,33,,,,,,,,
INDIGO-POJ-0134,outcomemetric11,Outcome level,Final,2015-01,2017-12,9,,,,,,,,
INDIGO-POJ-0134,outcomemetric12,Outcome level,Final,2015-01,2017-12,9,,,,,,,,
INDIGO-POJ-0134,outcomemetric13,Outcome level,Final,2015-01,2017-12,153,,,,,,,,
INDIGO-POJ-0134,outcomemetric14,Outcome level,Final,2015-01,2017-12,18,,,,,,,,
INDIGO-POJ-0134,outcomemetric15,Outcome level,Final,2015-01,2017-12,13,,,,,,,,
INDIGO-POJ-0134,outcomemetric16,Outcome level,Final,2015-01,2017-12,93,,,,,,,,
INDIGO-POJ-0134,outcomemetric17,Outcome level,Final,2015-01,2017-12,70,,,,,,,,
INDIGO-POJ-0134,outcomemetric18,Outcome level,Final,2015-01,2017-12,30,,,,,,,,
INDIGO-POJ-0134,outcomemetric19,Outcome level,Final,2015-01,2017-12,17,,,,,,,,
INDIGO-POJ-0134,outcomemetric20,Outcome level,Final,2015-01,2017-12,12,,,,,,,,
INDIGO-POJ-0134,outcomemetric21,Outcome level,Final,2015-01,2017-12,7,,,,,,,,
INDIGO-POJ-0135,outcomemetric1,Outcome level,Final,2015-01,2017-01,273,270,,,,,,,
INDIGO-POJ-0135,outcomemetric2,Outcome level,Final,2015-01,2017-01,211,,,,,,,,
INDIGO-POJ-0135,outcomemetric3,Outcome level,Final,2015-01,2017-01,156,,,,,,,,
INDIGO-POJ-0135,outcomemetric4,Outcome level,Final,2015-01,2017-01,231,,,,,,,,
INDIGO-POJ-0135,outcomemetric5,Outcome level,Final,2015-01,2017-01,206,,,,,,,,
INDIGO-POJ-0135,outcomemetric6,Outcome level,Final,2015-01,2017-01,184,,,,,,,,
