Project ID,Id,Name - (Value),Type - (Value),Publishing Organisations - (Value),URL - (Value),Archive URL - (Value),Internal URL - (Value),Publication Date - (Value),Accessed Date - (Value),Notes
INDIGO-POJ-0002,source6,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 15 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source7,"Social Ventures Australia Aspire Social Impact Bond, N.D. p. 2 accessed on 24/07/2019 at https://www.socialventures.com.au/assets/Aspire-SIB_About-web.pdf",,,,,,,,
INDIGO-POJ-0002,source8,"Pro bono Australia Homelesslessness Social Impact Bond Raises $9M, 2017, accessed on 24/09/2019 at https://probonoaustralia.com.au/news/2017/03/homelessness-social-impact-bond-raises-9m/",,,,,,,,
INDIGO-POJ-0002,source9,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 4 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source10,"See Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p. 13 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf",,,,,,,,
INDIGO-POJ-0002,source11,Hutt St Centre website 'The Aspire Approach' accessed on 24/07/2019 at https://www.huttstcentre.org.au/how-we-help/aspire-program,,,,,,,,
INDIGO-POJ-0002,source12,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 7 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source13,"Hutt St Centre website 'The Aspire Approach' accessed on 24/07/2019 at https://www.huttstcentre.org.au/how-we-help/aspire-program and Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 4-5 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source14,"Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p. 20 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf",,,,,,,,
INDIGO-POJ-0002,source15,"Social Ventures Australia Aspire Social Impact Bond, N.D. p. 1 accessed on 24/07/2019 at https://www.socialventures.com.au/assets/Aspire-SIB_About-web.pdf",,,,,,,,
INDIGO-POJ-0002,source16,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 11 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source17,"Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p. 13 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf",,,,,,,,
INDIGO-POJ-0002,source18,"Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p. 5 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf",,,,,,,,
INDIGO-POJ-0002,source19,"Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p. 33 - 35 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf
Social Ventures Australia Aspire Social Impact Bond Information Memorandum, 2017 p.32 - 35 accessed on 24/072019 at http://www.socialventures.com.au/assets/SVA-Aspire-IM-web-FINAL.pdf",,,,,,,,
INDIGO-POJ-0002,source20,Social Ventures Australia Aspire Social Impact Bond Information accesed on 05/10/2021 at https://mk0socialventuraff85.kinstacdn.com/assets/SVA-Aspire-IM-web-FINAL.pdf,,,,,,,,
INDIGO-POJ-0003,source1,Resilient Families Impact Report 2013-18 accessed on 22/07/2019 at https://www.benevolent.org.au/about-us/innovative-approaches/social-benefit-bond#heading3,,,,,,,,
INDIGO-POJ-0003,source2,"Resilient Families Impact Report 2013-18, p. 2 accessed on 22/07/2019 at https://www.benevolent.org.au/about-us/innovative-approaches/social-benefit-bond#heading3",,,,,,,,
INDIGO-POJ-0003,source3,"Evaluation of the Resilient Families service (Social Benefi Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 6 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Progress-Report.1.pdf.aspx",,,,,,,,
INDIGO-POJ-0003,source4,"The Potential and Limitations of Impact Bonds, Brookings, 2015 accessed on 22/07/2019 at https://www.brookings.edu/wp-content/uploads/2015/07/impact-bondsweb.pdf",,,,,,,,
INDIGO-POJ-0003,source5,"The Potential and Limitations of Impact Bonds, Brookings, 2015 p. 121 accessed on 22/07/2019 at https://www.brookings.edu/wp-content/uploads/2015/07/impact-bondsweb.pdf",,,,,,,,
INDIGO-POJ-0003,source6,Own calculation based on Amount committed,,,,,,,,
INDIGO-POJ-0003,source7,"Resilient Families Impact Report 2013-18, p. 14 accessed on 22/07/2019 at https://www.benevolent.org.au/about-us/innovative-approaches/social-benefit-bond#heading3",,,,,,,,
INDIGO-POJ-0003,source8,"Social Benefit Bond Investor Report, 30 October 2017 accessed on 22/07/2019 at https://www.benevolent.org.au/about-us/innovative-approaches/social-benefit-bond#heading3",,,,,,,,
INDIGO-POJ-0003,source9,"Evaluation of the Resilient Families service (Social Benefit Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 11 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Progress-Report.1.pdf.aspx",,,,,,,,
INDIGO-POJ-0003,source10,"Social Benefit Bond Investor Report, 30 October 2017 p. 10 accessed on 22/07/2019 at",,,,,,,,
INDIGO-POJ-0003,source11,"Evaluation of the Resilient Families service (Social Benefit Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 6 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Progress-Report.1.pdf.aspx",,,,,,,,
INDIGO-POJ-0003,source12,"Evaluation of the Resilient Families service (Social Benefit Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 13 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Progress-Report.1.pdf.aspx",,,,,,,,
INDIGO-POJ-0003,source13,"Evaluation of the Resilient Families service (Social Benefit Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 13 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Prog",,,,,,,,
INDIGO-POJ-0003,source14,"Evaluation of the Resilient Families service (Social Benefit Bond Pilot) NSW Treasury and ARTD Consultants, 2017 p. 16 accessed on 22/07/2019 at https://www.benevolent.org.au/ArticleDocuments/269/Info-sheet-Evaluation-of-the-Resilient-Families-Service-Prog",,,,,,,,
INDIGO-POJ-0003,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0003,source15,Evaluation of the Resilient Families Service Final Evaluation April 2020.pdf,,,,,,,,
INDIGO-POJ-0004,source1,"Victoria State Government Treasury and Finance Journey to Social Inclusion, N.D. p. 1 accessed on 27/07/2019 at http://www.dtf.vic.gov.au/sites/default/files/2018-01/Social-Impact-Bond-Journey-to-Social-Inclusion-Glossy.docx",,,,,,,,
INDIGO-POJ-0004,source2,"Infered from Victoria State Government Treasury and Finance Journey to Social Inclusion, N.D. p. 2 accessed on 27/07/2019 at http://www.dtf.vic.gov.au/sites/default/files/2018-01/Social-Impact-Bond-Journey-to-Social-Inclusion-Glossy.docx and Sacred Heart Mission Journey to Social Inclusion program, N.D. accessed on 27/07/2019 https://www.sacredheartmission.org/seek-help/housing-support/journey-to-social-inclusion-program",,,,,,,,
INDIGO-POJ-0004,source3,"Sacred Heart Mission Journey to Social Inclusion program, N.D. accessed on 27/07/2019 https://www.sacredheartmission.org/seek-help/housing-support/journey-to-social-inclusion-program",,,,,,,,
INDIGO-POJ-0004,source4,"Victoria State Government Treasury and Finance Journey to Social Inclusion, N.D. p. 2 accessed on 27/07/2019 at http://www.dtf.vic.gov.au/sites/default/files/2018-01/Social-Impact-Bond-Journey-to-Social-Inclusion-Glossy.docx",,,,,,,,
INDIGO-POJ-0004,source5,"Latitude Victoria's First Social Impact Bond at http://www.latitude.network/blog/victorias-first-social-impact-bond, Norton Rose Fulbright website at https://www.nortonrosefulbright.com/en/news/f9a34c70/norton-rose-fulbright-advises-sacred-heart-mission-on-victorias-first-social-impact-investment, and Center for Social Impact website at https://www.csi.edu.au/news/journey-social-inclusion/, all accessed on 27/07/2019",,,,,,,,
INDIGO-POJ-0004,source6,ProBono Australia Vic Govt Funds Ground-Breaking Homelessness Project 2016 accessed on 27/07/2019 at https://probonoaustralia.com.au/news/2016/03/vic-govt-funds-ground-breaking-homelessness-project/,,,,,,,,
INDIGO-POJ-0004,source7,"ProBono Australia Vic Govt Funds Ground-Breaking Homelessness Project, 2016 accessed on 27/07/2019 at https://probonoaustralia.com.au/news/2016/03/vic-govt-funds-ground-breaking-homelessness-project/",,,,,,,,
INDIGO-POJ-0004,source8,"Victoria State Government Treasury and Finance Journey to Social Inclusion, N.D. p. 2. accessed on 27/07/2019 at http://www.dtf.vic.gov.au/sites/default/files/2018-01/Social-Impact-Bond-Journey-to-Social-Inclusion-Glossy.docx",,,,,,,,
INDIGO-POJ-0004,source9,"Victoria State Government Treasury and Finance Journey to Social Inclusion, N.D. p. 3 accessed on 27/07/2019 at http://www.dtf.vic.gov.au/sites/default/files/2018-01/Social-Impact-Bond-Journey-to-Social-Inclusion-Glossy.docx",,,,,,,,
INDIGO-POJ-0005,source1,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 1 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source2,"Derived from dates in Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 5 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source3,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 2 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source4,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 5 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source5,"Office of Social Impact Investment Newpin Factsheet, 2017 p. 2 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/Newpin-Factsheet-August-2017.pdf",,,,,,,,
INDIGO-POJ-0005,source6,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p.2 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source7,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 24 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf. See also https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Evaluation-Framework.pdf accessed 30/7/19.",,,,,,,,
INDIGO-POJ-0005,source8,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 7 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source9,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 3 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf and The Potential and Limitations of Impact Bonds, Brookings, 2015 p. 119 accessed on 23/07/2019 at https://www.brookings.edu/wp-content/uploads/2015/07/impact-bondsweb.pdf",,,,,,,,
INDIGO-POJ-0005,source10,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 6 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf AND Uniting Care Burnside Newpin Restoration Model, 2013 accessed on 23/07/2019 at https://www.aph.gov.au/DocumentStore.ashx?id=11eb511b-daf2-4cda-bd62-6dddba06700c",,,,,,,,
INDIGO-POJ-0005,source11,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 6 and pp. 13 - 15 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf AND Uniting Care Burnside Newpin Restoration Model, 2013 accessed on 23/07/2019 at https://www.aph.gov.au/DocumentStore.ashx?id=11eb511b-daf2-4cda-bd62-6dddba06700c",,,,,,,,
INDIGO-POJ-0005,source12,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 3 and p. 15 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source13,"Summary derived from Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 29 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source14,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 27 and p. 29 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source15,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 34 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source16,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, p4 and p.27 2013 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,source17,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2013 p. 28 accessed on 23/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/Newpin-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0005,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0005,source18,"Information memorandum Newpin Social Benefit Bond, Social Ventures Australia, 2021 p. 5 accessed on 05/10/2021 at https://mk0socialventuraff85.kinstacdn.com/assets/Newpin-Social-Benefit-Bond-IM-020513.pdf",,,,,,,,
INDIGO-POJ-0005,source19,Newpin Final Evaluation Report (see documents tab),Evaluation report,,https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/Newpin-Evaluation-Final-Report.pdf,,,,,
INDIGO-POJ-0006,source1,"Office of Social Impact Investment (OSII) On TRACC Investment factsheet, 2017 p. 1 accessed on 25/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/OnTracc-Factsheet-FINAL.pdf",,,,,,,,
INDIGO-POJ-0006,source2,"NSW Parliamentary Research Service, Social Impact Bonds and Recidivism: A new solution to an old problem? 2017 p. 11 accessed on 25/07/2019 at https://apo.org.au/sites/default/files/resource-files/2017/02/apo-nid73721-1147781.pdf",,,,,,,,
INDIGO-POJ-0006,source3,"NSW Parliamentary Research Service, Social Impact Bonds and Recidivism: A new solution to an old problem? 2017 p. 12 accessed on 25/07/2019 at https://apo.org.au/sites/default/files/resource-files/2017/02/apo-nid73721-1147781.pdf",,,,,,,,
INDIGO-POJ-0006,source4,"Office of Social Impact Investment (OSII) On TRACC Investment factsheet, 2017 p. 2 accessed on 25/07/2019 at https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/OnTracc-Factsheet-FINAL.pdf",,,,,,,,
INDIGO-POJ-0006,source5,"NSW Parliamentary Research Service, Social Impact Bonds and Recidivism: A new solution to an old problem? 2017 p. 13 accessed on 25/07/2019 at https://apo.org.au/sites/default/files/resource-files/2017/02/apo-nid73721-1147781.pdf",,,,,,,,
INDIGO-POJ-0006,source6,ACSO website https://www.acso.org.au/,,,,,,,,
INDIGO-POJ-0006,source7,"Office of Social Impact Investment, New social impact invesment to reduce parolee reoffending and re-incarceration, N.D. accessed on 25/07/2019 at https://www.osii.nsw.gov.au/news/2016/07/12/new-social-impact-investment-to-reduce-parolee-reoffending-and-re-incarceration/",,,,,,,,
INDIGO-POJ-0006,sourcehackandlearn2022-03,Hack and Learn - March 2022,,,,,,,,
INDIGO-POJ-0006,source8,Social impact investment and recidivism: A field experiment with high-risk parolees,Report,,https://www.bocsar.nsw.gov.au/Publications/CJB/2020-Social-impact-investment-and-recidivism-CJB234.pdf,,,,,
INDIGO-POJ-0007,source1,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 3 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source2,"Inferred from Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 9 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source3,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 5 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source4,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 12 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source5,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 18 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source6,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 13 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source7,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 4 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source8,"Office of Social Impact Investment Resolve Social Benefit Bond, N.D. accessed on 26/07/2019 at https://www.osii.nsw.gov.au/news/2017/05/05/resolve-social-benefit-bond-australian-first-social-impact-investment-to-improve-mental-health-outcomes",,,,,,,,
INDIGO-POJ-0007,source9,"Deed of Implementation Agreement for Resolve Social Benefit Bond, 2017 p. 56 accessed on 26/07/2019 at https://www.health.nsw.gov.au/sii/Documents/implementation-agreement-resolve.PDF",,,,,,,,
INDIGO-POJ-0007,source10,"Social Ventures Australia, SVA raises $7m in private capial for Australia's first social impact bond targeting mental health outcomes, 2017, accessed on 26/07/2019 at https://www.socialventures.com.au/news/sva-raises-7m-private-capital-australias-first-social-impact-bond-targeting-mental-health-outcomes/",,,,,,,,
INDIGO-POJ-0007,source11,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 7 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source12,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 6 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source13,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 pp. 3-4 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,source14,"Health NSW Resolve Program clinicians factsheet, N.D., p. 1 accessed on 26/07/2019 at https://www.health.nsw.gov.au/sii/Factsheets/resolve-clinicians-factsheet.pdf",,,,,,,,
INDIGO-POJ-0007,source15,"Interpretation of Deed if Implementation Agreement for Resolve Social Benefit Bond, 2017 p. 3 accessed on 26/07/2019 at https://www.health.nsw.gov.au/sii/Documents/implementation-agreement-resolve.PDF",,,,,,,,
INDIGO-POJ-0007,source18,"Social Ventures Australia Resolve Social Benefit Bond Information Memorandum, 2017 p. 27 accessed on 26/07/2019 at https://www.socialventures.com.au/assets/Resolve-SBB-IM-web.pdf",,,,,,,,
INDIGO-POJ-0007,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0007,source19,Resolve Social Benefit Bond Baseline Report (22 August 2019),,,https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/ESA31417-Resolve-Social-Benefiline-Report-27-Aug-2019-FINAL.PDF,,,,,
INDIGO-POJ-0007,source20,Resolve Social Benefit Bond Interim Report 2022,,,https://www.osii.nsw.gov.au/assets/office-of-social-impact-investment/files/ESA31417-Resolve-Social-Benefit-Bond-Interim-Report-13-July-2022.pdf,,,,,
INDIGO-POJ-0008,source1,"Queensland Treasury Youth CONNECT Social Benefit Bond, 2018 accessed on 27/07/2019 at https://www.treasury.qld.gov.au/programs-and-policies/social-benefit-bonds-pilot-program/youth-connect-social-benefit-bond/",,,,,,,,
INDIGO-POJ-0008,source2,"Inferred from Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 22 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source3,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 34 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source4,"Queensland Treasury Youth CONNECT Social Benefit Bond, 2018 accessed on 27/07/2019 at https://www.treasury.qld.gov.au/programs-and-policies/social-benefit-bonds-pilot-program/youth-connect-social-benefit-bond/. See also Westpac Media Release 2017 accessed on 04/08/2019 at  https://www.westpac.com.au/about-westpac/media/media-releases/2017/25-july/.",,,,,,,,
INDIGO-POJ-0008,source5,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 4 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source6,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 26 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source7,"Queensland Treasury Youth CONNECT Social Benefit Bond, 2018 accessed on 27/07/2019 at https://www.treasury.qld.gov.au/programs-and-policies/social-benefit-bonds-pilot-program/youth-connect-social-benefit-bond/  and PeakCare Youth CONNECT - one of Queensland's Social Benefit Bonds, 2018 accessed on 27/07/2019 at http://peakcare.com.au/youth-connect-one-queenslands-social-benefit-bonds/",,,,,,,,
INDIGO-POJ-0008,source8,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 10 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source9,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 11 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
INDIGO-POJ-0008,source12,"Churches of Christ in Queensland Youth CONNECT Social Benefit Bond Information Memorandum, N.D. p. 9 accessed on 27/07/2019 at https://s3.treasury.qld.gov.au/test-files/files/SBB-Youth-CONNECT-Information-Memorandum.pdf",,,,,,,,
